Isotope,Energy (keV),XS (mb),Info
20Ne,6199.73,3.50993,"(n,n') XS"
20Ne,3494.6000000000004,3.03832,"(n,n') XS"
20Ne,7421.9,2.42746,"(n,n') XS"
20Ne,8700.0,2.09692,"(n,n') XS"
20Ne,7066.33,2.09692,"(n,n') XS"
20Ne,4968.49,1.96166,"(n,n') XS"
20Ne,5625.3,1.75364,"(n,n') XS"
22Ne,1274.5800000000002,466.206,"(n,n') XS"
22Ne,2083.12,129.839,"(n,n') XS"
22Ne,3181.2200000000003,38.1218,"(n,n') XS"
22Ne,2166.0,24.0687,"(n,n') XS"
22Ne,4635.5199999999995,22.869,"(n,n') XS"
22Ne,4088.62,12.2662,"(n,n') XS"
22Ne,2988.7999999999997,11.65,"(n,n') XS"
22Ne,4366.82,11.2397,"(n,n') XS"
22Ne,2952.6,11.0159,"(n,n') XS"
22Ne,3871.72,10.1645,"(n,n') XS"
22Ne,690.5,9.04629,"(n,n') XS"
22Ne,5331.8,8.68697,"(n,n') XS"
22Ne,4845.5199999999995,8.04946,"(n,n') XS"
22Ne,1898.4,6.41849,"(n,n') XS"
22Ne,3985.1,5.89969,"(n,n') XS"
22Ne,3277.7,5.31024,"(n,n') XS"
22Ne,1558.8999999999999,5.15174,"(n,n') XS"
22Ne,2283.7000000000003,5.05837,"(n,n') XS"
22Ne,6648.0199999999995,5.01071,"(n,n') XS"
22Ne,5625.72,4.92182,"(n,n') XS"
22Ne,1454.3,4.80246,"(n,n') XS"
22Ne,2552.4,4.80203,"(n,n') XS"
22Ne,5360.820000000001,4.72668,"(n,n') XS"
22Ne,2259.6,4.35493,"(n,n') XS"
22Ne,4057.2200000000003,4.25657,"(n,n') XS"
22Ne,5776.32,3.86439,"(n,n') XS"
22Ne,6855.5,3.61605,"(n,n') XS"
22Ne,6691.0,3.59353,"(n,n') XS"
22Ne,6390.22,3.56509,"(n,n') XS"
22Ne,6368.42,3.50502,"(n,n') XS"
22Ne,7491.0,2.68683,"(n,n') XS"
22Ne,2363.6,2.58915,"(n,n') XS"
22Ne,6131.32,2.43897,"(n,n') XS"
22Ne,4718.7,1.97614,"(n,n') XS"
22Ne,5363.2,1.96267,"(n,n') XS"
22Ne,3266.2,1.95456,"(n,n') XS"
22Ne,6801.820000000001,1.81772,"(n,n') XS"
22Ne,5544.82,1.81264,"(n,n') XS"
22Ne,902.5,1.78336,"(n,n') XS"
22Ne,5416.419999999999,1.61707,"(n,n') XS"
22Ne,4364.3,1.52456,"(n,n') XS"
22Ne,1673.1000000000001,1.47613,"(n,n') XS"
22Ne,3187.2,1.4722,"(n,n') XS"
22Ne,1432.7,1.41578,"(n,n') XS"
22Ne,5580.92,1.4103,"(n,n') XS"
22Ne,1664.3,1.36799,"(n,n') XS"
22Ne,6447.42,1.3485,"(n,n') XS"
22Ne,4455.8,1.18196,"(n,n') XS"
22Ne,1456.2,1.11359,"(n,n') XS"
22Ne,1766.1,0.988082,"(n,n') XS"
23Na,439.99,564.11,"(n,n') XS"
23Na,1636.02,196.612,"(n,n') XS"
23Na,2263.51,73.7813,"(n,n') XS"
23Na,627.49,40.1315,"(n,n') XS"
23Na,2639.85,29.3479,"(n,n') XS"
23Na,1772.06,27.1004,"(n,n') XS"
23Na,2982.06,24.2704,"(n,n') XS"
23Na,2390.73,21.4606,"(n,n') XS"
23Na,3237.61,19.9216,"(n,n') XS"
23Na,3914.24,17.992,"(n,n') XS"
23Na,2076.01,17.5581,"(n,n') XS"
23Na,2542.0699999999997,17.0154,"(n,n') XS"
23Na,2830.5,13.9187,"(n,n') XS"
23Na,4334.62,12.4164,"(n,n') XS"
23Na,1950.74,11.1791,"(n,n') XS"
23Na,3848.0699999999997,10.1615,"(n,n') XS"
23Na,2506.44,9.56228,"(n,n') XS"
23Na,3531.8999999999996,9.0856,"(n,n') XS"
23Na,3411.4,9.06101,"(n,n') XS"
23Na,5741.75,5.74849,"(n,n') XS"
23Na,2698.6,5.5257,"(n,n') XS"
23Na,5926.8099999999995,5.49521,"(n,n') XS"
23Na,4938.58,5.49327,"(n,n') XS"
23Na,4429.64,5.35051,"(n,n') XS"
23Na,6178.009999999999,5.14796,"(n,n') XS"
23Na,2194.12,4.95108,"(n,n') XS"
23Na,1037.75,4.92031,"(n,n') XS"
23Na,6427.7,4.22872,"(n,n') XS"
23Na,3408.08,4.20079,"(n,n') XS"
23Na,4501.78,3.78921,"(n,n') XS"
23Na,3457.9900000000002,3.70213,"(n,n') XS"
23Na,3324.57,3.45652,"(n,n') XS"
23Na,5602.2,3.41647,"(n,n') XS"
23Na,2517.0,3.25161,"(n,n') XS"
23Na,2971.54,3.18119,"(n,n') XS"
23Na,2346.53,3.05657,"(n,n') XS"
23Na,5766.03,2.87599,"(n,n') XS"
23Na,5336.01,2.78304,"(n,n') XS"
23Na,3385.27,2.78304,"(n,n') XS"
23Na,3651.0099999999998,2.6771,"(n,n') XS"
23Na,5486.82,2.45128,"(n,n') XS"
23Na,6920.6,2.41248,"(n,n') XS"
23Na,5301.76,2.35711,"(n,n') XS"
23Na,5326.04,2.32958,"(n,n') XS"
23Na,3917.23,2.28621,"(n,n') XS"
23Na,3554.75,2.2114,"(n,n') XS"
23Na,6137.8,2.19742,"(n,n') XS"
23Na,3302.56,2.14238,"(n,n') XS"
23Na,3142.0099999999998,2.13142,"(n,n') XS"
23Na,1838.23,2.03318,"(n,n') XS"
24Mg,1368.67,907.758,"(n,n') XS"
24Mg,2754.2200000000003,199.303,"(n,n') XS"
24Mg,3866.45,88.6701,"(n,n') XS"
24Mg,4238.24,72.5261,"(n,n') XS"
24Mg,4642.17,54.2461,"(n,n') XS"
24Mg,6247.8,34.6975,"(n,n') XS"
24Mg,2869.57,19.3605,"(n,n') XS"
24Mg,7070.69,19.0961,"(n,n') XS"
24Mg,3991.31,16.6578,"(n,n') XS"
24Mg,2577.23,16.2828,"(n,n') XS"
24Mg,6989.3099999999995,14.8324,"(n,n') XS"
24Mg,7349.0,14.3177,"(n,n') XS"
24Mg,7616.469999999999,14.2249,"(n,n') XS"
24Mg,7285.86,13.4109,"(n,n') XS"
24Mg,7495.62,13.1902,"(n,n') XS"
24Mg,7915.549999999999,11.4193,"(n,n') XS"
24Mg,1683.3,11.2638,"(n,n') XS"
24Mg,8089.14,10.771,"(n,n') XS"
24Mg,6378.84,10.6312,"(n,n') XS"
24Mg,8437.31,9.69957,"(n,n') XS"
24Mg,9003.34,9.28367,"(n,n') XS"
24Mg,3689.46,8.95445,"(n,n') XS"
24Mg,5980.33,8.73445,"(n,n') XS"
24Mg,7555.04,8.32618,"(n,n') XS"
24Mg,5393.39,8.26114,"(n,n') XS"
24Mg,7932.48,7.55382,"(n,n') XS"
24Mg,3516.96,7.17019,"(n,n') XS"
24Mg,8163.8099999999995,7.14601,"(n,n') XS"
24Mg,1076.92,6.69956,"(n,n') XS"
24Mg,5176.88,6.30845,"(n,n') XS"
24Mg,4316.47,6.30258,"(n,n') XS"
24Mg,9828.11,6.07329,"(n,n') XS"
24Mg,1772.6,6.02072,"(n,n') XS"
24Mg,5294.240000000001,6.00332,"(n,n') XS"
24Mg,5063.63,5.92407,"(n,n') XS"
24Mg,5178.26,5.58905,"(n,n') XS"
24Mg,9967.19,5.57658,"(n,n') XS"
24Mg,6186.37,5.32911,"(n,n') XS"
24Mg,5905.08,5.04708,"(n,n') XS"
24Mg,3122.86,4.8949,"(n,n') XS"
24Mg,9145.99,4.87311,"(n,n') XS"
24Mg,7747.51,4.14556,"(n,n') XS"
24Mg,3316.8,4.07885,"(n,n') XS"
24Mg,2347.14,3.26245,"(n,n') XS"
24Mg,4880.45,3.25003,"(n,n') XS"
24Mg,7936.72,3.12149,"(n,n') XS"
24Mg,8659.3,3.0793,"(n,n') XS"
24Mg,5334.92,3.05877,"(n,n') XS"
24Mg,7777.32,2.92387,"(n,n') XS"
24Mg,4297.360000000001,2.78761,"(n,n') XS"
25Mg,1611.77,77.8676,"(n,n') XS"
25Mg,585.04,44.1893,"(n,n') XS"
25Mg,1793.29,33.4468,"(n,n') XS"
25Mg,974.76,23.583,"(n,n') XS"
25Mg,389.71,20.0005,"(n,n') XS"
25Mg,1763.04,17.0402,"(n,n') XS"
25Mg,1379.58,11.5713,"(n,n') XS"
25Mg,4059.5999999999995,10.5941,"(n,n') XS"
25Mg,989.87,8.32041,"(n,n') XS"
25Mg,2746.98,8.01508,"(n,n') XS"
25Mg,3405.0600000000004,7.59222,"(n,n') XS"
25Mg,1964.6200000000001,7.33482,"(n,n') XS"
