Isotope,Energy (keV),XS (mb),Compound
00Re,762.8,4.212,Re
00Re,729.4,4.212,Re
00Re,1189.8,4.118,187Re
00Re,1018.7,4.025,Re
00Re,1301.4,4.025,Re
00Re,1136.3,4.025,Re
00Re,1077.3,4.025,Re
00Re,1518.0,3.931,Re
00Re,853.5,3.838,Re
00Re,1099.8,3.744,Re
00Re,1212.2,3.65,Re
00Re,1249.2,3.65,Re
00Re,822.2,3.557,Re
00Re,1143.1,3.37,Re
00Re,227.3,3.089,Re
00Re,1713.0,2.714,Re
00Re,754.3,2.434,Re
00Re,1375.9,2.246,Re
00Re,1651.0,2.153,Re
00Re,1117.4,1.685,Re
00Re,1595.1,1.685,Re
00Re,1532.5,1.591,Re
00Re,1317.9,1.404,Re
00Os,205.78,562.723,192Os
00Os,186.71,506.563,190Os
00Os,155.02,205.546,188Os
00Os,489.05,174.096,192Os
00Os,283.24,130.291,192Os
00Os,484.59,125.798,192Os
00Os,557.97,112.32,190Os
00Os,569.34,103.334,190Os
00Os,371.26,86.486,190Os
00Os,374.53,79.747,192Os
00Os,361.12,79.747,190Os
00Os,322.91,50.544,188Os
00Os,635.0,42.682,188Os
00Os,633.14,37.066,188Os
00Os,477.99,32.573,188Os
00Os,219.39,32.573,189Os
00Os,379.18,30.326,192Os
00Os,420.49,29.54,192Os
00Os,407.31,26.957,Os
00Os,407.31,26.957,190OS
00Os,580.54,25.497,192Os
00Os,216.62,24.71,189Os
00Os,244.83,24.71,189Os
00Os,397.26,22.127,190Os
00Os,201.33,21.341,192Os
00Os,605.24,20.218,190Os
00Os,271.51,20.218,Os
00Os,852.24,18.982,Os
00Os,346.89,17.185,Os
00Os,437.2,16.511,Os
00Os,296.53,15.725,186Os
00Os,453.0,15.725,192Os
00Os,829.23,14.714,190Os
00Os,467.46,14.602,192Os
00Os,638.46,14.04,Os
00Os,725.3,13.928,190Os
00Os,280.9,13.478,Os
00Os,462.38,12.692,188Os
00Os,242.9,12.355,Os
00Os,928.22,10.221,190Os
00Os,768.3,10.109,190Os
00Os,292.59,10.109,192Os
00Os,921.6,9.547,Os
00Os,811.0,8.986,188Os
00Os,223.8,8.986,190Os
00Os,233.7,8.986,189Os
00Os,563.7,8.986,192Os
00Os,431.64,8.424,190Os
00Os,329.27,7.75,192Os
00Os,999.96,7.638,Os
00Os,447.85,7.525,190Os
00Os,630.9,7.301,190Os
00Os,687.6,6.964,Os
00Os,1175.5,6.627,Os
00Os,703.6,6.29,192Os
00Os,1115.0,6.178,190Os
00Os,343.47,6.065,189Os
00Os,1389.1,5.841,Os
00Os,672.3,5.841,188Os
00Os,1135.2,5.504,Os
00Os,1681.0,5.054,Os
00Os,1124.0,4.942,188Os
00Os,773.4,4.83,186Os
00Os,518.68,4.717,Os
00Os,1150.3,4.717,188Os
00Os,353.7,4.717,Os
00Os,987.3,4.717,Os
00Os,646.0,4.605,188Os
00Os,1103.0,4.605,Os
00Os,623.4,4.605,188Os
00Os,1011.1,4.38,Os
00Os,1378.0,4.38,Os
00Os,1255.9,4.268,Os
00Os,720.3,4.268,Os
00Os,454.9,4.268,Os
00Os,1204.1,4.044,Os
00Os,740.8,4.044,Os
00Os,250.5,3.931,Os
00Os,1616.0,3.931,Os
00Os,1546.2,3.931,190Os
00Os,656.0,3.819,190Os
00Os,931.5,3.707,188Os
00Os,1436.4,3.707,190Os
00Os,575.5,3.594,Os
00Os,1429.4,3.594,Os
00Os,403.8,3.37,Os
00Os,1117.9,3.37,Os
00Os,1131.1,3.257,Os
00Os,1249.4,3.257,190Os
00Os,650.9,3.033,Os
00Os,1839.1,3.033,Os
00Os,1458.2,2.92,188Os
00Os,427.7,2.92,Os
00Os,1154.4,2.92,Os
00Os,1147.5,2.92,Os
00Os,1734.9,2.92,Os
00Os,1042.5,2.92,Os
00Os,550.3,2.808,Os
00Os,750.8,2.808,192Os
00Os,1020.1,2.808,Os
00Os,1196.1,2.808,190Os
00Os,615.8,2.808,Os
00Os,1265.8,2.696,Os
00Os,788.4,2.696,Os
00Os,1489.6,2.583,Os
00Os,1413.3,2.583,Os
00Os,679.8,2.471,190Os
00Os,527.3,2.359,Os
00Os,1407.9,2.246,Os
00Os,1715.1,2.246,Os
00Os,531.6,2.246,Os
00Os,878.0,2.246,190Os
00Os,665.0,2.246,Os
00Os,933.8,2.134,186Os
00Os,748.1,2.134,Os
00Os,888.3,2.134,190Os
00Os,967.6,2.134,Os
00Os,1742.0,2.134,Os
00Os,753.6,2.022,Os
00Os,1464.4,1.909,Os
00Os,857.6,1.909,Os
00Os,1451.8,1.797,Os
00Os,1512.0,1.797,Os
00Os,599.4,1.685,Os
00Os,818.9,1.685,Os
00Os,1383.2,1.685,190Os
00Os,1826.6,1.685,Os
00Os,1058.3,1.572,Os
00Os,1127.5,1.572,Os
00Os,760.8,1.46,Os
00Os,980.5,1.46,Os
00Os,1301.6,1.236,188Os
00Os,1189.9,1.123,Os
00Os,545.6,0.899,Os
00Ir,129.4,537.264,191Ir
00Ir,219.24,382.225,193Ir
00Ir,219.24,382.225,191Ir
00Ir,139.3,316.602,Ir
00Ir,139.3,316.602,193Ir
00Ir,298.84,78.287,193Ir
00Ir,460.49,69.461,193Ir
00Ir,357.79,68.309,193Ir
00Ir,263.7,68.309,193Ir
00Ir,263.7,68.309,191Ir
00Ir,482.25,65.239,193Ir
00Ir,361.86,48.738,193Ir
00Ir,343.18,45.284,191Ir
00Ir,388.5,41.83,Ir
00Ir,388.5,41.83,193Ir
00Ir,181.5,39.527,193Ir
00Ir,181.5,39.527,Ir
00Ir,559.3,38.376,193Ir
00Ir,383.01,37.608,193Ir
00Ir,267.95,37.225,191Ir
00Ir,557.03,34.538,193Ir
00Ir,213.79,34.538,Ir
00Ir,178.3,34.155,191Ir
00Ir,178.3,34.155,193Ir
00Ir,351.4,33.387,191Ir
00Ir,351.4,33.387,NG
00Ir,588.07,27.247,191Ir
00Ir,377.54,26.863,Ir
00Ir,373.0,26.863,191Ir
00Ir,374.8,26.863,Ir
00Ir,288.95,25.712,193Ir
00Ir,171.9,24.177,191Ir
00Ir,621.06,23.793,193Ir
00Ir,234.49,23.409,193Ir
00Ir,409.2,23.026,191Ir
00Ir,748.63,22.258,191Ir
00Ir,336.27,19.188,Ir
00Ir,321.69,19.188,193Ir
00Ir,538.92,18.804,191Ir
00Ir,398.4,18.42,Ir
00Ir,645.66,16.502,Ir
00Ir,420.19,15.734,193Ir
00Ir,441.02,15.734,193Ir
00Ir,718.66,14.583,Ir
00Ir,668.04,14.583,Ir
00Ir,936.3,14.199,Ir
00Ir,251.5,13.432,193Ir
00Ir,269.5,13.048,191Ir
00Ir,778.58,13.048,193Ir
00Ir,874.31,12.664,193Ir
00Ir,325.1,12.28,Ir
00Ir,294.6,12.28,NG
00Ir,499.3,11.897,Ir
00Ir,981.9,11.897,Ir
00Ir,280.4,11.513,193Ir
00Ir,1060.0,11.513,Ir
00Ir,1047.2,11.129,Ir
00Ir,534.5,10.745,Ir
00Ir,456.0,9.594,Ir
00Ir,456.0,9.594,191Ir
00Ir,686.28,9.21,191Ir
00Ir,449.4,9.21,NG
00Ir,575.9,9.21,191Ir
00Ir,849.05,8.826,193Ir
00Ir,887.1,8.826,Ir
00Ir,418.2,8.059,NG
00Ir,915.0,8.059,Ir
00Ir,308.2,7.675,Ir
00Ir,406.0,7.675,Ir
00Ir,1070.0,7.675,Ir
00Ir,477.1,6.908,Ir
00Ir,972.4,6.908,Ir
00Ir,583.4,6.524,191Ir
00Ir,624.0,6.524,191Ir
00Ir,891.5,6.14,193Ir
00Ir,525.4,6.14,193Ir
00Ir,964.5,6.14,193Ir
00Ir,710.0,6.14,193Ir
00Ir,947.1,6.14,Ir
00Ir,517.8,5.756,Ir
00Ir,951.2,5.373,Ir
00Ir,926.8,4.605,Ir
00Ir,797.7,4.605,Ir
00Ir,843.4,4.221,Ir
00Ir,503.7,3.838,193Ir
00Ir,956.0,3.838,Ir
00Ir,1027.5,3.838,Ir
00Ir,705.2,3.454,Ir
00Ir,782.0,3.454,Ir
00Ir,662.4,3.07,Ir
00Ir,930.9,3.07,Ir
00Ir,862.0,3.07,Ir
00Ir,284.6,3.07,Ir
00Ir,743.4,2.686,Ir
00Ir,761.2,2.303,Ir
00Ir,794.1,2.303,Ir
00Pt,328.51,786.24,194Pt
00Pt,355.72,566.093,196Pt
00Pt,293.42,235.872,194Pt
00Pt,333.1,228.01,196Pt
00Pt,407.42,127.371,198Pt
00Pt,211.28,108.501,195Pt
00Pt,482.79,103.784,194Pt
00Pt,300.78,92.776,194Pt
00Pt,173.1,75.479,195Pt
00Pt,521.38,73.907,196Pt
00Pt,393.3,52.678,196Pt
00Pt,562.75,45.602,194Pt
00Pt,289.0,39.312,195Pt
00Pt,367.58,36.953,Pt
00Pt,239.27,34.595,195Pt
00Pt,621.9,30.663,194Pt
00Pt,320.1,28.305,195Pt
00Pt,1091.8,25.16,196Pt
00Pt,1104.0,24.373,194Pt
00Pt,577.6,21.228,Pt
00Pt,389.8,20.442,198Pt
00Pt,419.6,18.87,Pt
00Pt,607.6,17.297,194Pt
00Pt,432.4,15.725,195Pt
00Pt,305.6,13.366,Pt
00Pt,259.1,13.366,195Pt
00Pt,455.6,13.366,Pt
00Pt,647.0,12.58,194Pt
00Pt,316.7,11.794,Pt
00Pt,499.8,11.007,Pt
00Pt,1006.2,10.221,196Pt
00Pt,382.3,10.221,Pt
00Pt,779.8,10.221,196Pt
00Pt,1047.3,10.221,196Pt
00Pt,673.1,9.828,196Pt
00Pt,1490.7,8.649,196Pt
00Pt,1293.2,7.862,Pt
00Pt,534.0,7.862,Pt
00Pt,473.8,7.705,Pt
00Pt,440.1,7.076,Pt
00Pt,797.0,7.076,198Pt
00Pt,1803.5,7.076,196Pt
00Pt,816.1,6.29,Pt
00Pt,659.6,6.29,196Pt
00Pt,1470.0,6.29,Pt
00Pt,1248.6,5.897,Pt
00Pt,758.4,5.661,196Pt
00Pt,1824.5,5.504,Pt
00Pt,724.5,5.425,Pt
00Pt,740.5,5.346,Pt
00Pt,810.6,4.717,Pt
00Pt,1449.8,4.482,Pt
00Pt,1676.3,4.167,196Pt
00Pt,612.9,3.931,Pt
00Pt,636.1,3.931,Pt
00Pt,464.9,3.931,Pt
00Pt,1969.3,3.695,Pt
00Pt,1439.6,3.066,Pt
00Pt,1737.0,2.909,196Pt
00Pt,1341.0,2.752,Pt
00Pt,1713.0,2.123,196Pt
00Pt,1218.3,2.044,Pt
00Au,278.95,505.44,197Au
00Au,174.72,136.469,197Au
00Au,191.31,126.36,197Au
00Au,547.62,86.936,197Au
00Au,502.7,85.925,197Au
00Au,457.94,50.039,197Au
00Au,364.07,24.261,197Au
00Au,576.78,22.239,197Au
00Au,357.9,21.228,197Au
00Au,202.0,11.12,197Au
00Au,130.2,10.614,197Au
00Au,268.7,10.614,197Au
00Au,144.0,10.109,197Au
00Au,535.4,10.109,197Au
00Au,538.8,8.087,197Au
00Au,1001.7,7.582,197Au
00Au,935.93,7.127,197Au
00Au,765.9,6.975,197Au
00Au,810.74,6.823,197Au
00Au,775.98,6.217,197Au
00Au,711.0,6.065,197Au
00Au,308.1,6.065,197Au
00Au,667.0,5.509,197Au
00Au,1071.0,4.701,197Au
00Au,1217.6,4.6,197Au
00Au,557.9,4.296,197Au
00Au,1265.2,4.246,197Au
00Au,1027.0,4.195,197Au
00Au,1351.2,4.044,197Au
00Au,638.8,3.74,197Au
00Au,1241.7,3.74,197Au
00Au,1370.6,3.69,197Au
00Au,1438.7,3.589,197Au
00Au,1160.8,3.488,197Au
00Au,998.4,3.437,197Au
00Au,684.6,3.336,197Au
00Au,1062.2,3.285,197Au
00Au,1133.7,3.083,197Au
00Au,1181.0,2.982,197Au
00Au,1313.8,2.932,197Au
00Au,881.0,2.881,197Au
00Au,656.7,2.78,197Au
00Au,1008.1,2.729,197Au
00Au,972.4,2.628,197Au
00Au,825.3,2.628,197Au
00Au,1115.3,2.527,197Au
00Au,1139.3,2.527,197Au
00Au,858.7,2.477,197Au
00Au,1307.0,2.426,197Au
00Au,1177.2,2.325,197Au
00Au,1214.0,2.072,197Au
00Au,871.3,2.022,197Au
00Au,1449.4,1.971,197Au
00Au,1407.4,1.921,197Au
00Au,1808.9,1.921,197Au
00Au,1418.5,1.87,197Au
00Au,1413.5,1.87,197Au
00Au,1222.6,1.82,197Au
00Au,1256.4,1.718,197Au
00Au,1570.4,1.567,197Au
00Au,1564.0,1.567,197Au
00Au,1089.8,1.516,197Au
00Au,1234.4,1.516,197Au
00Au,729.9,1.516,197Au
00Au,986.0,1.466,197Au
00Au,925.2,1.415,197Au
00Au,772.9,1.264,197Au
00Au,1498.2,1.213,197Au
00Au,1547.5,1.163,197Au
00Au,1797.2,1.112,197Au
00Au,1150.5,1.112,197Au
00Au,718.7,1.112,197Au
00Au,1345.4,1.112,197Au
00Au,1332.3,1.112,197Au
00Au,1337.6,1.112,197Au
00Au,1599.8,1.061,197Au
00Au,1483.0,0.96,197Au
00Au,1130.8,0.96,197Au
00Au,1619.1,0.96,197Au
00Au,1657.3,0.96,197Au
00Au,1535.6,0.91,197Au
00Au,1592.7,0.859,197Au
00Au,635.0,0.708,197Au
00Au,1584.6,0.556,197Au
00Au,2048.5,0.556,197Au
00Au,737.4,0.505,197Au
00Au,1824.2,0.505,197Au
00Au,749.8,0.354,197Au
00Au,745.7,0.354,197Au
00Hg,439.24,549.666,202Hg
00Hg,367.95,379.08,200Hg
00Hg,412.0,208.494,198Hg
00Hg,520.3,170.586,202Hg
00Hg,158.39,117.515,199Hg
00Hg,579.28,87.188,200Hg
00Hg,208.196,60.653,199Hg
00Hg,680.0,39.803,202Hg
00Hg,403.49,31.843,199Hg
00Hg,636.59,28.431,198Hg
00Hg,222.2,25.777,202Hg
00Hg,886.2,24.261,200Hg
00Hg,351.8,23.124,202Hg
00Hg,543.0,23.124,201Hg
00Hg,587.8,21.228,Hg
00Hg,661.41,17.438,200Hg
00Hg,388.4,17.059,202Hg
00Hg,1205.2,16.68,202Hg
00Hg,1205.2,16.68,200Hg
00Hg,383.5,16.3,Hg
00Hg,903.6,15.921,Hg
00Hg,960.0,15.921,202Hg
00Hg,908.2,15.921,202Hg
00Hg,489.4,15.542,Hg
00Hg,949.9,14.405,202Hg
00Hg,653.88,14.405,Hg
00Hg,492.3,14.026,199Hg
00Hg,675.6,13.647,198Hg
00Hg,759.1,12.131,Hg
00Hg,871.8,11.751,202Hg
00Hg,742.5,11.751,202Hg
00Hg,455.2,11.372,199Hg
00Hg,612.9,10.614,Hg
00Hg,284.2,9.856,199Hg
00Hg,827.9,9.856,200Hg
00Hg,334.0,9.856,199Hg
00Hg,749.9,9.477,199Hg
00Hg,1225.5,9.098,200Hg 
00Hg,1570.3,9.098,200Hg
00Hg,550.2,8.719,202Hg
00Hg,565.3,7.961,202Hg
00Hg,1135.1,7.961,202Hg
00Hg,1291.1,7.582,200Hg
00Hg,463.9,6.823,Hg
00Hg,1273.4,6.634,200Hg
00Hg,1200.7,6.444,198Hg
00Hg,640.6,6.444,Hg
00Hg,1007.7,5.8,198Hg
00Hg,1263.1,5.762,200Hg
00Hg,254.2,5.686,Hg
00Hg,247.1,5.686,199Hg
00Hg,1517.2,5.686,Hg
00Hg,1320.1,5.648,Hg
00Hg,1782.4,5.497,Hg
00Hg,733.0,5.421,Hg
00Hg,774.8,5.345,Hg
00Hg,1362.9,5.307,200Hg
00Hg,1254.2,5.08,200Hg
00Hg,1355.2,4.549,202Hg
00Hg,1306.6,4.284,202Hg
00Hg,1087.8,4.17,198Hg
00Hg,1632.2,4.17,Hg
00Hg,1488.8,4.056,200Hg 
00Hg,1034.4,3.791,Hg
00Hg,1147.5,3.791,200Hg 
00Hg,1903.0,3.791,Hg
00Hg,786.6,3.677,202Hg
00Hg,1719.2,3.525,200Hg
00Hg,1239.6,3.488,202Hg
00Hg,1510.8,3.45,Hg
00Hg,990.2,3.45,198Hg
00Hg,1526.2,3.222,202Hg
00Hg,1476.0,3.184,Hg
00Hg,799.8,3.071,Hg
00Hg,1124.8,2.957,202Hg
00Hg,1595.1,2.881,Hg
00Hg,554.7,2.881,Hg
00Hg,941.1,2.881,Hg
00Hg,1605.5,2.881,200Hg
00Hg,1749.1,2.691,Hg
00Hg,1384.8,2.578,202Hg
00Hg,1917.8,2.578,Hg
00Hg,1693.3,2.578,200Hg
00Hg,1391.3,2.502,Hg
00Hg,1465.8,2.464,Hg
00Hg,1550.2,2.426,Hg
00Hg,1883.1,2.388,Hg
00Hg,1184.5,2.388,Hg
00Hg,1326.2,2.274,Hg
00Hg,2144.2,2.237,Hg
00Hg,1531.0,2.237,Hg
00Hg,1164.6,2.123,Hg
00Hg,1062.5,2.123,Hg
00Hg,1412.7,2.085,202Hg 
00Hg,1446.6,2.009,Hg
00Hg,1961.4,1.933,Hg
00Hg,1724.8,1.933,Hg
00Hg,1366.8,1.895,200Hg
00Hg,1556.6,1.895,Hg
00Hg,1758.8,1.82,Hg
00Hg,2003.0,1.706,Hg
00Hg,810.6,1.668,Hg
00Hg,1350.8,1.668,200Hg
00Hg,1376.2,1.554,Hg
00Hg,2008.1,1.403,Hg
00Hg,1175.9,1.327,Hg
00Hg,1421.1,0.986,Hg
00Tl,203.6,681.08,205Tl
00Tl,279.19,302.702,203Tl
00Tl,415.65,205.405,205Tl
00Tl,719.96,154.44,205Tl
00Tl,401.33,86.486,203Tl
00Tl,794.56,61.776,203Tl
00Tl,505.7,58.687,205Tl
00Tl,936.91,36.448,205Tl
00Tl,936.91,36.448,203Tl
00Tl,231.95,28.726,Tl
00Tl,976.28,25.483,205Tl
00Tl,561.2,24.71,205Tl
00Tl,905.33,23.32,203Tl
00Tl,1136.9,20.077,205Tl
00Tl,1219.2,16.988,205Tl
00Tl,1435.6,16.988,205Tl
00Tl,1235.0,15.598,205Tl
00Tl,255.6,14.208,205Tl
00Tl,954.5,12.355,203Tl
00Tl,570.3,12.046,Tl
00Tl,680.45,11.583,203Tl
00Tl,363.6,10.811,203Tl
00Tl,1178.0,10.811,Tl
00Tl,765.1,10.656,203Tl
00Tl,786.3,10.347,203Tl
00Tl,619.2,9.884,205Tl
00Tl,701.7,9.575,Tl
00Tl,521.6,8.803,205Tl
00Tl,492.0,8.803,Tl
00Tl,536.1,8.494,203Tl
00Tl,631.4,8.185,205Tl
00Tl,1505.4,7.568,Tl
00Tl,991.9,6.95,Tl
00Tl,810.4,6.795,205Tl
00Tl,1141.2,6.178,205Tl
00Tl,386.8,6.023,Tl
00Tl,1379.1,6.023,205Tl
00Tl,1350.8,6.023,205Tl
00Tl,264.7,5.869,Tl
00Tl,1574.5,5.56,205Tl
00Tl,658.4,5.097,205Tl
00Tl,1895.2,4.324,Tl
00Tl,1076.9,4.324,Tl
00Tl,1305.4,4.324,Tl
00Tl,1546.5,4.17,Tl
00Tl,304.4,3.861,205Tl
00Tl,708.6,3.861,Tl
00Tl,1406.4,3.707,203Tl
00Tl,924.6,3.243,205Tl
00Tl,888.9,3.243,Tl
00Tl,583.6,3.089,Tl
00Tl,552.1,3.089,Tl
00Tl,1772.1,2.934,Tl
00Tl,374.5,2.78,205Tl
00Tl,1698.1,2.78,Tl
00Tl,1744.1,2.78,Tl
00Tl,1417.4,2.625,Tl
00Tl,835.4,2.471,203Tl
00Tl,1228.9,2.317,Tl
00Tl,1283.0,2.162,Tl
00Tl,1268.7,2.162,Tl
00Tl,441.3,2.008,Tl
00Tl,1243.6,1.853,Tl
00Tl,1609.9,1.853,Tl
00Tl,1340.6,1.544,205Tl
00Tl,1255.6,1.39,Tl
00Pb,803.01,191.88,206Pb
00Pb,569.64,145.829,207Pb
00Pb,2614.68,126.641,208Pb
00Pb,898.01,70.996,207Pb
00Pb,537.41,61.402,206Pb
00Pb,583.14,55.645,208Pb
00Pb,881.04,26.479,206Pb
00Pb,1063.71,23.409,207Pb
00Pb,182.9,18.42,206Pb
00Pb,663.68,17.461,206Pb
00Pb,1704.68,12.088,206Pb
00Pb,2093.72,11.897,207Pb
00Pb,1770.2,11.513,207Pb
00Pb,860.5,9.978,208Pb
00Pb,981.73,9.402,208Pb
00Pb,343.4,9.402,206Pb
00Pb,657.07,7.867,206Pb
00Pb,1726.55,7.867,207Pb
00Pb,1845.0,7.675,206Pb
00Pb,1466.69,7.291,206Pb
00Pb,1435.17,7.291,208Pb
00Pb,1095.04,7.291,207Pb
00Pb,1347.3,4.605,206Pb
00Pb,1347.3,4.605,208Pb
00Pb,748.77,4.029,208Pb
00Pb,1381.1,3.742,Pb
00Pb,1616.3,3.454,208Pb
00Pb,397.7,3.454,206Pb
00Pb,1126.54,3.358,Pb
00Pb,374.8,3.262,204Pb
00Pb,1225.7,3.108,Pb
00Pb,4086.2,3.07,208Pb
00Pb,389.7,2.878,Pb
00Pb,2649.9,2.686,Pb
00Pb,1641.0,2.686,208Pb
00Pb,763.55,2.667,208Pb
00Pb,1393.6,2.418,Pb
00Pb,856.7,2.303,Pb
00Pb,1283.1,2.034,Pb
00Pb,1333.0,1.919,Pb
00Pb,1796.9,1.765,Pb
00Pb,2322.6,1.765,Pb
00Pb,2846.1,1.746,Pb
00Pb,1784.2,1.689,206Pb
00Pb,2769.4,1.669,Pb
00Pb,927.8,1.573,208Pb
00Pb,2055.3,1.516,207Pb
00Pb,1878.0,1.439,Pb
00Pb,1904.3,1.401,Pb
00Pb,2631.7,1.305,Pb
00Pb,1413.5,1.266,Pb
00Pb,1718.3,1.151,Pb
00Pb,1561.1,1.055,209Pb
00Pb,921.2,0.998,Pb
00Pb,1185.7,0.979,Pb
00Pb,1648.5,0.902,Pb
00Pb,1542.4,0.883,208Pb
00Pb,1160.9,0.825,Pb
00Bi,896.2,224.64,209Bi
00Bi,1608.97,148.262,209Bi
00Bi,246.19,42.682,209Bi
00Bi,992.58,31.45,209Bi
00Bi,992.58,31.45,209Bi
00Bi,2741.4,23.587,209Bi
00Bi,2600.1,18.645,209Bi
00Bi,1132.44,18.42,209Bi
00Bi,2493.4,15.051,209Bi
00Bi,2564.5,14.377,209Bi
00Bi,1546.4,13.478,209Bi
00Bi,1527.14,12.355,209Bi
00Bi,413.5,8.986,209Bi
00Bi,1687.0,7.862,209Bi
00Bi,3135.0,7.188,209Bi
00Bi,225.8,5.841,209Bi
00Bi,225.8,5.841,209Bi
00Bi,3155.0,5.841,209Bi
00Bi,1560.77,5.391,209Bi
00Bi,2827.4,4.268,209Bi
00Bi,2583.4,4.268,209Bi
00Bi,3091.5,4.044,209Bi
00Bi,1720.4,3.37,209Bi
00Bi,2142.9,3.145,209Bi
00Bi,2414.5,2.92,209Bi
00Bi,1785.1,2.696,209Bi
00Bi,2679.6,2.696,209Bi
00Bi,2201.9,2.471,209Bi
00Bi,2957.4,2.246,209Bi
00Bi,2616.0,2.246,209Bi
00Bi,3465.6,2.246,209Bi
00Bi,1798.9,2.246,209Bi
00Bi,807.2,2.246,209Bi
00Bi,922.6,2.246,209Bi
00Bi,2195.2,2.246,209Bi
00Bi,2465.9,2.022,209Bi
00Bi,2904.5,1.797,209Bi
00Bi,2869.5,1.797,209Bi
00Bi,2670.4,1.797,209Bi
00Bi,2355.3,1.797,209Bi
00Bi,1930.6,1.572,209Bi
00Bi,2705.7,1.572,209Bi
00Bi,2695.8,1.572,209Bi
00Bi,3070.8,1.572,209Bi
00Bi,3377.4,1.348,209Bi
00Bi,2644.6,1.123,209Bi
00Bi,948.3,0.899,209Bi
00Bi,2659.4,0.741,209Bi
00Bi,1252.8,0.562,209Bi
00Th,171.6,168.48,232Th
00Th,665.54,165.11,232Th
00Th,612.25,141.523,232Th
00Th,736.14,92.664,232Th
00Th,780.42,90.979,232Th
00Th,727.9,75.816,232Th
00Th,785.43,55.598,232Th
00Th,550.43,43.805,232Th
00Th,1072.7,38.75,232Th
00Th,1056.1,37.066,232Th
00Th,1077.4,37.066,232Th
00Th,1023.9,37.066,232Th
00Th,774.17,33.696,232Th
00Th,681.07,32.011,232Th
00Th,1133.24,28.642,232Th
00Th,798.1,26.957,232Th
00Th,223.5,25.272,232Th
00Th,714.7,23.587,232Th
00Th,823.4,20.218,232Th
00Th,981.4,18.533,232Th
00Th,959.9,16.848,232Th
00Th,1046.3,15.163,232Th
00Th,1029.5,15.163,232Th
00Th,185.4,15.163,232Th
00Th,1504.4,13.478,232Th
00Th,627.7,12.804,232Th
00Th,218.6,11.794,232Th
00Th,539.8,11.288,232Th
00Th,808.6,10.109,232Th
00Th,396.8,10.109,232Th
00Th,376.5,9.266,232Th
00Th,1571.6,8.424,232Th
00Th,1400.3,8.424,232Th
00Th,1322.9,8.087,232Th
00Th,463.4,7.75,232Th
00Th,1429.9,7.413,232Th
00Th,492.6,7.245,232Th
00Th,457.1,7.076,232Th
00Th,443.3,6.739,232Th
00Th,1561.6,6.739,232Th
00Th,1003.9,6.739,232Th
00Th,472.1,5.897,232Th
00Th,815.2,5.728,232Th
00Th,1486.8,5.728,232Th
00Th,1102.0,5.728,232Th
00Th,1640.6,5.56,232Th
00Th,1166.9,5.391,232Th
00Th,1302.8,5.391,232Th
00Th,768.6,5.391,232Th
00Th,519.5,5.054,232Th
00Th,943.4,3.707,232Th
00Th,1662.6,3.37,232Th
00Th,1314.6,3.37,232Th
00Th,861.3,3.37,232Th
00Th,986.6,3.201,232Th
00Th,1105.5,3.201,232Th
00Th,1902.8,3.033,232Th
00Th,1119.2,2.864,232Th
00Th,1391.9,2.696,232Th
00Th,1436.5,2.359,232Th
00Th,1415.7,2.19,232Th
00Th,1248.4,2.19,232Th
00Th,1224.4,2.19,232Th
00Th,1941.2,2.19,232Th
00Th,1952.5,2.19,232Th
00Th,1870.5,2.022,232Th
00Th,1217.3,1.348,232Th
00U,635.24,135.72,238U
00U,1015.1,124.862,238U
00U,679.87,116.719,238U
00U,679.87,116.719,238U
00U,687.0,108.576,238U
00U,885.23,105.862,238U
00U,158.9,95.004,238U
00U,583.61,80.075,238U
00U,1060.94,65.146,238U
00U,191.9,58.36,238U
00U,173.6,48.859,238U
00U,952.6,47.502,238U
00U,848.9,42.073,238U
00U,817.0,35.287,238U
00U,211.2,33.93,238U
00U,1020.4,31.216,238U
00U,911.2,29.858,238U
00U,958.1,27.144,238U
00U,905.4,27.144,238U
00U,352.0,27.144,238U
00U,295.5,27.144,238U
00U,808.8,24.43,238U
00U,589.4,24.43,238U
00U,724.1,24.43,238U
00U,641.3,24.43,238U
00U,357.9,23.072,238U
00U,325.5,23.072,238U
00U,218.1,21.715,238U
00U,203.6,20.358,238U
00U,768.1,20.358,238U
00U,269.6,20.358,238U
00U,331.6,20.358,238U
00U,1223.4,19.001,238U
00U,1179.6,17.644,238U
00U,1179.6,17.644,238U
00U,975.7,16.286,238U
00U,1216.4,16.286,238U
00U,448.2,16.286,238U
00U,1311.8,16.286,238U
00U,376.5,14.929,238U
00U,1436.0,14.929,238U
00U,1279.1,14.929,238U
00U,1084.2,14.929,238U
00U,535.9,14.929,238U
00U,553.6,13.572,238U
00U,546.4,12.215,238U
00U,1383.4,11.672,238U
00U,1367.8,11.672,238U
00U,1367.8,11.672,238U
00U,921.1,10.858,238U
00U,967.9,10.858,238U
00U,1121.7,9.772,238U
00U,1428.0,9.5,238U
00U,799.5,9.5,238U
00U,1091.2,9.365,238U
00U,991.9,9.229,238U
00U,457.0,8.143,238U
00U,932.5,8.007,238U
00U,1233.6,7.872,238U
00U,1198.6,7.465,238U
00U,621.1,6.922,238U
00U,775.1,6.786,238U
00U,258.9,6.243,238U
00U,540.5,6.243,238U
00U,1471.2,5.972,238U
00U,1132.2,5.972,238U
00U,1038.0,5.7,238U
00U,306.6,5.565,238U
00U,1335.7,5.429,238U
00U,317.0,4.886,238U
00U,749.3,4.75,238U
