Isotope,Energy (keV),Sigma (mb),DSigma (mb),Half life (s),Decay
76Ge,1114.8,0.0123,0.000501,40700.0,B-
76Ge,985.73,0.0117,0.00030199999999999997,40700.0,B-
76Ge,788.92,0.011600000000000001,0.00030199999999999997,40700.0,B-
76Ge,399.01,0.011399999999999999,0.000401,40700.0,B-
76Ge,419.5,0.0111,0.000701,52.9,B-
76Ge,1295.71,0.0107,0.0011,40700.0,B-
76Ge,614.39,0.0106,0.0011,40700.0,B-
76Ge,1478.99,0.0101,0.000901,40700.0,B-
76Ge,1201.43,0.00969,0.000192,40700.0,B-
76Ge,569.22,0.00937,0.000192,40700.0,B-
76Ge,921.04,0.00847,0.000192,40700.0,B-
76Ge,959.24,0.00834,0.000192,40700.0,B-
76Ge,503.94,0.00834,0.000192,40700.0,B-
76Ge,1339.19,0.00815,0.000192,40700.0,B-
76Ge,685.37,0.008,0.0007999999999999999,40700.0,B-
76Ge,925.47,0.0076,0.0007999999999999999,40700.0,B-
76Ge,610.96,0.00732,0.000191,40700.0,B-
76Ge,2037.76,0.0073,0.000401,40700.0,B-
76Ge,1465.75,0.0070999999999999995,0.0007,40700.0,B-
76Ge,1295.71,0.0070999999999999995,0.0007,40700.0,B-
76Ge,1465.75,0.0070999999999999995,0.0007,40700.0,B-
76Ge,1569.39,0.0068000000000000005,0.000301,40700.0,B-
76Ge,1722.16,0.0061,0.00013099999999999999,40700.0,B-
76Ge,1164.65,0.00597,0.00013099999999999999,40700.0,B-
76Ge,503.86,0.0059,0.0005,52.9,B-
76Ge,798.8,0.005710000000000001,0.00013099999999999999,40700.0,B-
76Ge,1792.63,0.005710000000000001,0.000191,40700.0,B-
76Ge,1528.2,0.00552,0.00013099999999999999,40700.0,B-
76Ge,531.3,0.00552,0.00013099999999999999,40700.0,B-
