Isotope,Energy (keV),Sigma (mb),DSigma (mb)
23Na,614.25,0.7,0.1
23Na,858.66,0.7,0.4
23Na,552.51,0.67,0.08
23Na,4462.502,0.67,0.06999999999999999
23Na,1693.69,0.63,0.1
23Na,1741.09,0.5900000000000001,0.12000000000000001
23Na,2247.85,0.57,0.09000000000000001
23Na,2242.67,0.5599999999999999,0.05
23Na,2790.03,0.54,0.08
23Na,4725.713,0.53,0.1
23Na,2524.01,0.5199999999999999,0.06999999999999999
23Na,2555.99,0.5199999999999999,0.09000000000000001
23Na,1846.92,0.5199999999999999,0.17
23Na,3770.37,0.51,0.030000000000000002
23Na,4375.94,0.51,0.04
23Na,2977.589,0.5,0.05
23Na,1028.3,0.48000000000000004,0.1
23Na,3271.06,0.48000000000000004,0.04
23Na,4553.64,0.48000000000000004,0.21000000000000002
23Na,852.48,0.46,0.08
23Na,5599.917,0.458,0.024
23Na,3632.76,0.45,0.030000000000000002
23Na,3492.77,0.45,0.2
23Na,3943.13,0.43,0.030000000000000002
23Na,2017.54,0.41,0.12999999999999998
23Na,858.43,0.4,0.3
23Na,773.64,0.384,0.019
23Na,2060.7,0.38,0.12000000000000001
23Na,3734.632,0.37,0.030000000000000002
23Na,1743.33,0.36000000000000004,0.04
23Na,1770.34,0.35,0.060000000000000005
23Na,906.1,0.35,0.09000000000000001
23Na,2271.2,0.35,0.06999999999999999
23Na,1314.47,0.34,0.060000000000000005
23Na,2911.06,0.31,0.06999999999999999
23Na,4981.86,0.30200000000000005,0.023
23Na,4915.33,0.3,0.04
23Na,2314.36,0.27999999999999997,0.04
23Na,863.38,0.27999999999999997,0.12000000000000001
23Na,3173.92,0.27999999999999997,0.030000000000000002
23Na,1767.14,0.27999999999999997,0.08
23Na,4644.61,0.25999999999999995,0.11
23Na,4905.641,0.25999999999999995,0.04
23Na,2269.19,0.25999999999999995,0.05
23Na,3712.726,0.255,0.020999999999999998
23Na,2301.2,0.25,0.1
23Na,2546.33,0.25,0.060000000000000005
23Na,2131.32,0.24000000000000002,0.030000000000000002
23Na,1584.19,0.24000000000000002,0.06999999999999999
23Na,2658.06,0.24000000000000002,0.030000000000000002
23Na,1859.56,0.23,0.1
23Na,2660.59,0.23,0.030000000000000002
23Na,4628.71,0.23,0.1
23Na,5006.3,0.229,0.016
23Na,3168.51,0.21000000000000002,0.05
23Na,1208.28,0.2,0.09000000000000001
23Na,3231.28,0.2,0.09000000000000001
23Na,1096.57,0.2,0.08
23Na,2310.63,0.18000000000000002,0.04
23Na,2350.13,0.18000000000000002,0.09000000000000001
23Na,1455.62,0.18000000000000002,0.1
23Na,3744.82,0.177,0.020999999999999998
23Na,2701.56,0.17200000000000001,0.022
23Na,820.52,0.17,0.05
23Na,3575.85,0.16,0.05
23Na,2270.07,0.16,0.04
23Na,2875.58,0.16,0.08
23Na,4106.96,0.15100000000000002,0.022
23Na,1876.49,0.15,0.05
23Na,1488.62,0.11,0.04
23Na,2107.13,0.11,0.04
23Na,4361.687,0.104,0.009000000000000001
23Na,1218.43,0.1,0.060000000000000005
23Na,2117.76,0.1,0.04
23Na,737.21,0.1,0.3
23Na,810.64,0.09000000000000001,0.060000000000000005
23Na,4866.3,0.083,0.007
23Na,4521.11,0.078,0.013
23Na,4689.79,0.073,0.016
23Na,5336.717,0.073,0.008
23Na,4244.79,0.073,0.011
23Na,1570.21,0.06999999999999999,0.030000000000000002
23Na,4278.47,0.068,0.006
23Na,3775.55,0.068,0.016
23Na,5683.692,0.068,0.011
23Na,4142.7,0.063,0.016
23Na,1034.35,0.060000000000000005,0.030000000000000002
23Na,5494.49,0.057,0.006
23Na,5245.746,0.047,0.007
23Na,5191.78,0.041999999999999996,0.019
23Na,4875.22,0.031,0.006
23Na,5658.45,0.031,0.006
23Na,3295.92,0.026,0.011
23Na,3244.35,0.026,0.011
23Na,4286.33,0.020999999999999998,0.005
23Na,6246.741,0.016,0.005
23Na,6958.509,0.016,0.005
23Na,5396.416,0.01,0.005
23Na,5508.948,0.01,0.005
24Mg,3916.84,32.0,1.1
24Mg,585.0,31.4,1.1
24Mg,2828.172,24.0,0.8
24Mg,3054.0,8.3,0.3
24Mg,974.66,6.63,0.24000000000000002
24Mg,3301.41,6.2,0.24000000000000002
24Mg,389.67,5.859999999999999,0.24000000000000002
24Mg,2438.54,4.7299999999999995,0.19
24Mg,3413.1,4.01,0.16
24Mg,1712.92,1.1800000000000002,0.06999999999999999
24Mg,1978.25,1.11,0.05
24Mg,6354.98,1.06,0.060000000000000005
24Mg,3691.02,0.68,0.04
24Mg,862.96,0.41,0.020999999999999998
24Mg,4528.55,0.35,0.030000000000000002
24Mg,4766.69,0.32699999999999996,0.022
24Mg,2214.06,0.3,0.030000000000000002
24Mg,1588.61,0.25,0.023
24Mg,2216.42,0.19,0.030000000000000002
24Mg,836.83,0.158,0.015000000000000001
24Mg,4141.31,0.154,0.016
24Mg,6744.54,0.14200000000000002,0.025
24Mg,2801.37,0.131,0.016
24Mg,1379.64,0.08399999999999999,0.011
24Mg,1964.61,0.081,0.018000000000000002
24Mg,2972.2,0.07100000000000001,0.018000000000000002
24Mg,849.99,0.066,0.011
24Mg,2563.21,0.055,0.016
24Mg,989.99,0.039,0.008
24Mg,1702.95,0.032,0.01
24Mg,2552.88,0.024,0.009000000000000001
24Mg,7329.38,0.014,0.003
24Mg,611.81,0.012,0.012
24Mg,1448.62,0.012,0.012
24Mg,1474.75,0.012,0.012
25Mg,1808.668,18.0,0.5
25Mg,1129.575,8.91,0.25
25Mg,3831.48,4.18,0.13999999999999999
25Mg,8153.448,2.85,0.11
25Mg,5452.025,2.06,0.06999999999999999
25Mg,4967.19,1.6199999999999999,0.06999999999999999
25Mg,1003.14,1.61,0.060000000000000005
25Mg,2541.21,1.48,0.06999999999999999
25Mg,4216.38,1.45,0.05
25Mg,3406.41,1.4,0.5
25Mg,3744.0,1.36,0.05
25Mg,1411.7,1.3,0.05
25Mg,1775.31,1.2899999999999998,0.05
25Mg,3551.19,1.09,0.04
25Mg,2523.65,1.0,0.04
25Mg,3319.65,1.0,0.04
25Mg,3810.13,0.9700000000000001,0.04
25Mg,5067.14,0.9600000000000001,0.04
25Mg,2938.159,0.94,0.04
25Mg,1896.72,0.94,0.04
25Mg,2132.67,0.8899999999999999,0.04
25Mg,4410.13,0.67,0.04
25Mg,2189.57,0.592,0.022
25Mg,2510.02,0.58,0.030000000000000002
25Mg,2426.12,0.519,0.02
25Mg,3341.0,0.46,0.030000000000000002
25Mg,2353.27,0.447,0.020999999999999998
25Mg,9282.642,0.438,0.018000000000000002
25Mg,6742.14,0.41100000000000003,0.019
25Mg,3208.97,0.398,0.019
25Mg,4602.93,0.363,0.017
25Mg,4322.65,0.315,0.018000000000000002
25Mg,1767.59,0.307,0.014
25Mg,5800.74,0.303,0.013
25Mg,2963.67,0.292,0.020999999999999998
25Mg,2513.6,0.279,0.019
25Mg,7369.7,0.27,0.060000000000000005
25Mg,2908.0,0.266,0.015000000000000001
25Mg,3092.34,0.258,0.015000000000000001
25Mg,1519.09,0.255,0.01
25Mg,3937.75,0.254,0.013
25Mg,6759.69,0.228,0.014
25Mg,2842.28,0.223,0.012
25Mg,7150.6,0.221,0.015000000000000001
25Mg,5539.5,0.216,0.013
25Mg,2928.68,0.2,0.014
25Mg,6375.41,0.192,0.015000000000000001
25Mg,1394.14,0.19,0.01
25Mg,2183.85,0.185,0.009000000000000001
25Mg,5311.79,0.176,0.011
25Mg,4030.88,0.176,0.01
25Mg,3993.19,0.16899999999999998,0.01
25Mg,2911.12,0.16699999999999998,0.014
25Mg,5732.29,0.164,0.012
25Mg,2865.47,0.162,0.012
25Mg,4552.98,0.16,0.013
25Mg,5223.38,0.16,0.012
25Mg,4961.48,0.155,0.011
25Mg,730.72,0.154,0.006
25Mg,2560.77,0.154,0.009000000000000001
25Mg,3599.94,0.152,0.01
25Mg,1157.19,0.127,0.008
25Mg,1779.76,0.126,0.008
25Mg,3040.1,0.12300000000000001,0.008
25Mg,1665.36,0.12000000000000001,0.006
25Mg,4834.65,0.11900000000000001,0.01
25Mg,1236.62,0.114,0.006
25Mg,2387.34,0.10900000000000001,0.007
25Mg,4347.04,0.09899999999999999,0.005
25Mg,2589.29,0.097,0.006
25Mg,4160.94,0.093,0.007
25Mg,4458.44,0.093,0.006
25Mg,1792.87,0.09000000000000001,0.008
25Mg,3695.69,0.09000000000000001,0.009000000000000001
25Mg,3473.13,0.089,0.008
25Mg,2932.48,0.088,0.012
25Mg,493.2,0.087,0.011
25Mg,3367.39,0.085,0.006
25Mg,3016.16,0.081,0.01
25Mg,6386.32,0.079,0.008
25Mg,2634.15,0.079,0.006
25Mg,1774.14,0.076,0.015000000000000001
25Mg,3186.91,0.076,0.009000000000000001
25Mg,4332.13,0.075,0.008
25Mg,3722.0,0.075,0.006
25Mg,1290.28,0.07100000000000001,0.006
25Mg,6773.33,0.06899999999999999,0.005
25Mg,6257.21,0.066,0.007
25Mg,6417.93,0.06499999999999999,0.007
25Mg,4316.33,0.064,0.008
25Mg,4936.49,0.064,0.007
25Mg,8502.24,0.063,0.006
25Mg,5766.67,0.062,0.006
25Mg,1365.59,0.060000000000000005,0.008
25Mg,2543.75,0.059,0.008
25Mg,8552.18,0.059,0.007
25Mg,2033.85,0.058,0.006
25Mg,3882.06,0.058,0.008
25Mg,5964.42,0.057,0.006
25Mg,6488.54,0.055,0.006
25Mg,5246.08,0.054,0.014
25Mg,5252.64,0.053,0.006
25Mg,3429.1,0.052,0.008
25Mg,5616.41,0.052,0.005
25Mg,6191.09,0.052,0.004
25Mg,2777.21,0.051,0.006
25Mg,2381.34,0.049,0.006
25Mg,6649.21,0.049,0.004
25Mg,4001.88,0.048,0.009000000000000001
25Mg,6120.11,0.048,0.004
