Isotope,Energy (keV),Sigma (mb),DSigma (mb)
25Mg,3611.49,0.047,0.009000000000000001
25Mg,833.71,0.046,0.008
25Mg,2041.18,0.046,0.006
25Mg,1566.97,0.046,0.004
25Mg,3026.21,0.044,0.006
25Mg,5401.45,0.044,0.004
25Mg,2557.39,0.043000000000000003,0.005
25Mg,8226.12,0.041999999999999996,0.006
25Mg,2934.73,0.041,0.009000000000000001
25Mg,1642.06,0.041,0.006
25Mg,9236.9,0.04,0.004
25Mg,966.46,0.04,0.004
25Mg,2697.46,0.039,0.005
25Mg,4992.46,0.038,0.006
25Mg,3262.57,0.037,0.005
25Mg,2264.39,0.036000000000000004,0.005
25Mg,3191.42,0.034999999999999996,0.009000000000000001
25Mg,5593.27,0.034,0.004
25Mg,1620.7,0.034,0.005
25Mg,3448.32,0.033,0.005
25Mg,3807.09,0.032,0.006
25Mg,8957.7,0.031,0.004
25Mg,5523.35,0.031,0.005
25Mg,2133.7,0.031,0.005
25Mg,3482.74,0.030000000000000002,0.004
25Mg,1534.55,0.030000000000000002,0.004
25Mg,990.71,0.030000000000000002,0.003
25Mg,6011.61,0.029,0.004
25Mg,5290.32,0.028,0.005
25Mg,4885.84,0.028,0.004
25Mg,4139.62,0.027,0.004
25Mg,6266.62,0.027,0.004
25Mg,11090.62,0.027,0.004
25Mg,4123.25,0.025,0.005
25Mg,4355.23,0.025,0.004
25Mg,4974.92,0.025,0.004
25Mg,6243.4,0.024,0.006
25Mg,2752.61,0.023,0.004
25Mg,5631.86,0.023,0.003
25Mg,6657.54,0.023,0.004
25Mg,374.42,0.023,0.003
25Mg,742.79,0.023,0.004
25Mg,1854.4,0.023,0.005
25Mg,3395.6,0.023,0.003
25Mg,4181.82,0.022,0.004
25Mg,2291.18,0.022,0.004
25Mg,10100.32,0.022,0.003
25Mg,8316.51,0.022,0.003
25Mg,3029.79,0.020999999999999998,0.003
25Mg,6694.07,0.020999999999999998,0.003
25Mg,4423.82,0.020999999999999998,0.003
25Mg,4489.95,0.020999999999999998,0.003
25Mg,2048.27,0.02,0.003
25Mg,502.61,0.019,0.004
25Mg,3783.73,0.019,0.006
25Mg,5020.85,0.019,0.003
25Mg,7617.81,0.018000000000000002,0.003
25Mg,5291.15,0.017,0.003
25Mg,3667.08,0.017,0.004
25Mg,1224.15,0.017,0.004
25Mg,3157.93,0.016,0.004
25Mg,7054.0,0.0155,0.0024
25Mg,1350.19,0.015000000000000001,0.003
25Mg,6722.58,0.015000000000000001,0.003
25Mg,9854.5,0.014,0.003
25Mg,6105.69,0.013,0.003
25Mg,5383.4,0.013,0.003
25Mg,5077.14,0.013,0.004
25Mg,5376.85,0.013,0.003
25Mg,1554.57,0.0126,0.0022
25Mg,5561.5,0.012,0.003
25Mg,347.18,0.012,0.002
25Mg,7187.28,0.011600000000000001,0.0021
25Mg,5924.7,0.0107,0.0022
25Mg,8409.89,0.0107,0.0021
25Mg,7660.4,0.0107,0.0021
25Mg,7098.59,0.01,0.030000000000000002
25Mg,3020.6,0.01,0.030000000000000002
25Mg,5914.28,0.01,0.030000000000000002
25Mg,1872.7,0.0097,0.002
25Mg,7696.1,0.0097,0.0021
25Mg,7807.0,0.0097,0.0021
25Mg,8540.11,0.0097,0.0021
25Mg,7060.91,0.0094,0.0019
25Mg,6249.07,0.0087,0.002
25Mg,7163.03,0.007700000000000001,0.002
25Mg,873.05,0.007700000000000001,0.0023
25Mg,287.3,0.0068000000000000005,0.002
25Mg,411.29,0.0068000000000000005,0.0013
25Mg,6441.12,0.0067,0.0014
25Mg,3500.07,0.0058000000000000005,0.002
25Mg,408.57,0.0048,0.0011
25Mg,5690.44,0.0048,0.002
25Mg,409.74,0.0048,0.0011
25Mg,8995.4,0.0039,0.001
25Mg,1358.55,0.0034000000000000002,0.0012
26Mg,2881.64,2.72,0.13999999999999999
26Mg,3561.29,2.49,0.12000000000000001
26Mg,1615.11,0.7,0.04
26Mg,984.88,0.64,0.04
26Mg,6442.52,0.39,0.04
26Mg,3843.0,0.33,0.030000000000000002
26Mg,4940.6,0.24000000000000002,0.05
26Mg,4827.72,0.23,0.030000000000000002
26Mg,2655.85,0.15,0.020999999999999998
26Mg,2576.51,0.147,0.02
26Mg,3476.1,0.125,0.024
26Mg,1698.56,0.11699999999999999,0.019
26Mg,5457.86,0.106,0.025
26Mg,2966.83,0.09000000000000001,0.009000000000000001
26Mg,3787.07,0.073,0.008
26Mg,1862.86,0.057,0.006
26Mg,2088.66,0.043000000000000003,0.004
26Mg,1266.61,0.037,0.004
26Mg,1351.81,0.036000000000000004,0.01
26Mg,955.45,0.027,0.004
26Mg,1846.93,0.027,0.004
26Mg,517.36,0.027,0.011
26Mg,1336.71,0.019,0.007
26Mg,1414.75,0.017900000000000003,0.0024
26Mg,2506.42,0.0158,0.0023
26Mg,5925.28,0.0148,0.0023
26Mg,3491.2,0.010499999999999999,0.0022
26Mg,2951.73,0.010499999999999999,0.0022
26Mg,1940.28,0.0095,0.0022
26Mg,4043.34,0.0095,0.0022
26Mg,3985.3,0.0042,0.0011
26Mg,241.74,0.0031999999999999997,0.0011
26Mg,1792.76,0.0031999999999999997,0.0011
26Mg,1466.97,0.0031999999999999997,0.0011
26Mg,2490.7,0.0025,0.0013
26Mg,1552.17,0.0021,0.0011
26Mg,713.71,0.0015999999999999999,0.0015999999999999999
26Mg,1621.13,0.0015999999999999999,0.0015999999999999999
26Mg,1040.81,0.0015999999999999999,0.0015999999999999999
26Mg,2887.66,0.0015999999999999999,0.0015999999999999999
26Mg,3129.38,0.0015999999999999999,0.0015999999999999999
27Al,30.638,79.8,2.0
27Al,7724.027,49.3,1.5
27Al,3033.896,17.9,0.3
27Al,4259.534,15.299999999999999,0.3
27Al,4133.407,14.9,0.3
27Al,3465.058,14.6,0.3
27Al,4733.844,12.6,0.3
27Al,4690.676,10.9,0.24000000000000002
27Al,3591.189,10.0,0.21000000000000002
27Al,1622.877,9.889999999999999,0.15
27Al,982.951,9.02,0.13999999999999999
27Al,2282.794,8.9,0.17
27Al,7693.397,8.1,0.3
27Al,2590.193,8.07,0.16
27Al,2821.444,7.52,0.15
27Al,5134.343,7.22,0.23
27Al,4903.113,7.16,0.18000000000000002
27Al,3849.111,6.989999999999999,0.17
27Al,1408.344,6.4,0.12999999999999998
27Al,3875.487,6.18,0.13999999999999999
27Al,4660.043,6.05,0.16
27Al,6101.529,5.7,0.21000000000000002
27Al,1013.588,5.55,0.1
27Al,2108.197,5.49,0.11
27Al,6316.024,5.0,0.2
27Al,5411.077,4.81,0.19
27Al,2138.833,4.24,0.09000000000000001
27Al,2577.701,4.12,0.1
27Al,2271.686,3.96,0.1
27Al,1526.246,3.3899999999999997,0.09000000000000001
27Al,5585.651,2.79,0.12000000000000001
27Al,831.426,2.69,0.06999999999999999
27Al,2625.859,2.64,0.060000000000000005
27Al,1927.527,2.62,0.06999999999999999
27Al,1589.62,2.4699999999999998,0.06999999999999999
27Al,941.75,2.46,0.05
27Al,3303.146,2.4099999999999997,0.06999999999999999
27Al,1283.693,2.22,0.060000000000000005
27Al,6710.699,2.2,0.12000000000000001
27Al,4764.477,2.1,0.1
27Al,6198.143,2.1,0.13999999999999999
27Al,1342.32,2.09,0.060000000000000005
27Al,1983.978,2.07,0.08
27Al,3560.555,2.06,0.08
27Al,3789.326,1.91,0.08
27Al,4428.414,1.85,0.08
27Al,4015.658,1.66,0.06999999999999999
27Al,5709.853,1.48,0.08
27Al,6440.65,1.47,0.08
27Al,400.589,1.41,0.04
27Al,2709.62,1.4,0.06999999999999999
27Al,5302.642,1.24,0.09000000000000001
27Al,3391.699,1.17,0.05
27Al,3823.909,1.14,0.06999999999999999
27Al,3346.97,1.11,0.05
27Al,2255.37,1.09,0.05
27Al,2451.565,1.06,0.06999999999999999
27Al,1102.06,1.03,0.04
27Al,4377.618,1.03,0.08
27Al,1073.94,1.0,0.04
27Al,4736.92,1.0,0.22
27Al,2954.47,0.98,0.05
27Al,1193.476,0.9700000000000001,0.04
27Al,5103.711,0.9700000000000001,0.060000000000000005
27Al,6619.73,0.93,0.06999999999999999
27Al,5766.296,0.91,0.08
27Al,1864.33,0.91,0.04
27Al,3708.939,0.88,0.08
27Al,865.84,0.87,0.030000000000000002
27Al,1125.289,0.83,0.04
27Al,2170.7,0.82,0.05
27Al,3265.538,0.82,0.060000000000000005
27Al,4754.377,0.8,0.06999999999999999
27Al,1705.509,0.8,0.05
27Al,2987.65,0.79,0.04
27Al,968.48,0.79,0.030000000000000002
27Al,455.77,0.7739999999999999,0.022
27Al,1592.24,0.71,0.05
27Al,4575.551,0.71,0.06999999999999999
27Al,1642.42,0.68,0.04
27Al,4424.2,0.67,0.060000000000000005
27Al,1364.86,0.66,0.05
27Al,1173.45,0.66,0.04
27Al,3935.272,0.63,0.05
27Al,2128.732,0.63,0.04
27Al,3678.305,0.61,0.04
27Al,3128.46,0.54,0.04
27Al,5238.482,0.54,0.05
27Al,548.69,0.533,0.016
27Al,2921.797,0.53,0.04
27Al,1437.4,0.5199999999999999,0.11
27Al,3900.69,0.49,0.05
27Al,4068.966,0.49,0.05
27Al,945.37,0.47,0.13999999999999999
27Al,3889.676,0.47,0.05
27Al,5452.815,0.46,0.060000000000000005
27Al,1673.4,0.44,0.04
27Al,6591.62,0.43,0.05
27Al,1305.21,0.43,0.04
27Al,3904.638,0.4,0.04
27Al,1570.24,0.38,0.12999999999999998
27Al,2887.214,0.38,0.04
27Al,5860.12,0.38,0.04
27Al,4621.54,0.372,0.020999999999999998
27Al,4280.65,0.37,0.05
27Al,6622.25,0.37,0.04
27Al,4054.07,0.37,0.05
27Al,5068.6,0.37,0.05
27Al,6018.911,0.366,0.019
27Al,4001.49,0.36000000000000004,0.04
27Al,6862.19,0.36000000000000004,0.060000000000000005
27Al,2347.24,0.34,0.030000000000000002
27Al,6351.404,0.32,0.04
27Al,5796.928,0.3,0.04
27Al,1372.957,0.29,0.16
27Al,2502.662,0.29,0.08
27Al,4596.12,0.27999999999999997,0.060000000000000005
27Al,4169.327,0.27999999999999997,0.05
27Al,2419.2,0.27399999999999997,0.02
27Al,6725.17,0.27,0.060000000000000005
27Al,2486.044,0.25999999999999995,0.08
27Al,7175.49,0.25999999999999995,0.015000000000000001
27Al,2548.08,0.25999999999999995,0.04
27Al,2534.93,0.24000000000000002,0.09000000000000001
27Al,4984.29,0.24000000000000002,0.04
27Al,3598.36,0.24000000000000002,0.05
27Al,2563.35,0.21000000000000002,0.05
27Al,6419.13,0.21000000000000002,0.04
27Al,5129.97,0.20900000000000002,0.018000000000000002
27Al,3639.89,0.2,0.05
27Al,3263.06,0.196,0.02
27Al,3067.99,0.19,0.05
27Al,5377.27,0.18000000000000002,0.04
27Al,3480.53,0.18000000000000002,0.04
27Al,1968.435,0.17,0.04
27Al,5176.45,0.17,0.04
27Al,3659.09,0.17,0.05
27Al,5427.273,0.17,0.01
27Al,7237.75,0.17,0.01
27Al,5523.15,0.17,0.04
27Al,3623.87,0.16799999999999998,0.012
27Al,4511.89,0.164,0.01
27Al,1620.26,0.16,0.02
27Al,1229.01,0.16,0.030000000000000002
27Al,1718.97,0.16,0.1
27Al,2552.052,0.13999999999999999,0.04
27Al,2876.43,0.13999999999999999,0.04
27Al,3721.59,0.13999999999999999,0.04
27Al,3020.233,0.13999999999999999,0.04
27Al,4484.51,0.13899999999999998,0.01
27Al,2047.77,0.13699999999999998,0.02
27Al,3017.781,0.12000000000000001,0.04
27Al,4237.51,0.11699999999999999,0.01
27Al,4396.31,0.114,0.006
27Al,6751.9,0.114,0.006
27Al,863.22,0.112,0.02
27Al,4213.43,0.11,0.006
27Al,4270.16,0.106,0.014
27Al,3024.81,0.1,0.04
27Al,2581.85,0.098,0.02
27Al,3222.75,0.096,0.006
27Al,5005.517,0.094,0.006
27Al,3859.18,0.09000000000000001,0.012
27Al,2743.48,0.088,0.012
27Al,3754.63,0.08399999999999999,0.006
27Al,4461.53,0.082,0.006
27Al,2277.95,0.08,0.060000000000000005
27Al,2247.4,0.078,0.012
27Al,4120.915,0.078,0.016
27Al,2862.01,0.074,0.012
27Al,7268.38,0.074,0.004
27Al,578.56,0.06999999999999999,0.018000000000000002
27Al,2455.408,0.06999999999999999,0.04
27Al,2312.539,0.06899999999999999,0.012
27Al,3751.035,0.06899999999999999,0.006
27Al,5446.95,0.06899999999999999,0.004
27Al,5802.83,0.06899999999999999,0.004
27Al,3821.69,0.06499999999999999,0.016
27Al,3448.07,0.063,0.01
27Al,4059.643,0.059,0.006
27Al,5184.756,0.059,0.004
27Al,2690.67,0.057,0.012
27Al,647.9,0.055,0.019
27Al,3230.6,0.053,0.006
27Al,4565.48,0.053,0.004
27Al,4218.15,0.053,0.006
27Al,2880.74,0.053,0.01
27Al,5879.46,0.051,0.004
27Al,1974.14,0.049,0.016
27Al,3316.336,0.049,0.006
27Al,2973.42,0.047,0.006
27Al,5988.279,0.045000000000000005,0.004
27Al,3926.799,0.045000000000000005,0.006
27Al,4044.69,0.045000000000000005,0.004
27Al,3409.27,0.045000000000000005,0.006
27Al,3254.751,0.043000000000000003,0.006
27Al,5277.68,0.041100000000000005,0.0021
27Al,2725.21,0.041,0.012
27Al,4162.12,0.037,0.01
27Al,5343.84,0.0333,0.0021
27Al,4100.28,0.031,0.01
27Al,4612.91,0.031,0.004
27Al,5441.709,0.029,0.004
27Al,5142.69,0.029,0.004
27Al,6255.03,0.027399999999999997,0.002
27Al,5829.49,0.025400000000000002,0.002
27Al,3768.58,0.025,0.004
27Al,6162.14,0.025,0.004
27Al,2903.21,0.022,0.01
27Al,3803.7,0.022,0.006
27Al,4783.53,0.022,0.006
27Al,3635.01,0.02,0.006
27Al,4085.19,0.016,0.004
27Al,5014.92,0.0059,0.002
27Al,310.2,0.0052,0.0021
28Si,3538.966,119.0,2.0
28Si,4933.889,112.0,2.3
28Si,2092.902,33.099999999999994,0.6
28Si,1273.349,28.9,0.6
28Si,6379.801,20.7,0.6
28Si,7199.199,12.5,0.4
28Si,3660.713,7.029999999999999,0.21000000000000002
28Si,5106.693,6.4,0.3
28Si,2425.767,4.9399999999999995,0.15
28Si,3954.39,4.49,0.19
28Si,8472.209,3.81,0.18000000000000002
28Si,1446.176,1.34,0.12999999999999998
28Si,1867.32,1.2899999999999998,0.13999999999999999
28Si,1793.52,1.11,0.12000000000000001
28Si,1152.472,0.93,0.09000000000000001
28Si,1565.01,0.86,0.06999999999999999
28Si,6046.98,0.8400000000000001,0.19
28Si,2027.98,0.75,0.12000000000000001
28Si,1540.28,0.58,0.11
28Si,2508.35,0.42000000000000004,0.060000000000000005
28Si,4839.8,0.41,0.11
28Si,1415.56,0.37,0.05
28Si,477.13,0.34,0.15
28Si,7057.01,0.31,0.060000000000000005
28Si,4879.99,0.3,0.05
28Si,1038.88,0.24000000000000002,0.060000000000000005
28Si,5634.52,0.22,0.060000000000000005
28Si,6444.71,0.2,0.04
28Si,4482.24,0.18000000000000002,0.05
28Si,950.39,0.12000000000000001,0.04
28Si,6907.6,0.1,0.030000000000000002
28Si,2906.13,0.07100000000000001,0.02
28Si,3841.26,0.07100000000000001,0.02
28Si,5096.77,0.07100000000000001,0.02
28Si,1760.6,0.07100000000000001,0.02
28Si,3566.61,0.061,0.02
28Si,5406.04,0.061,0.02
28Si,3633.06,0.060000000000000005,0.060000000000000005
28Si,754.67,0.051,0.02
28Si,6712.1,0.05,0.04
28Si,2123.51,0.041,0.01
28Si,4631.66,0.041,0.02
28Si,397.82,0.030000000000000002,0.01
28Si,5783.94,0.030000000000000002,0.01
28Si,7995.22,0.030000000000000002,0.022
28Si,7522.08,0.02,0.017
29Si,2235.227,2.5,0.11
29Si,6743.25,1.7,0.09000000000000001
29Si,3864.9,1.66,0.09000000000000001
29Si,3101.19,1.49,0.08
29Si,5272.06,0.87,0.06999999999999999
29Si,2445.93,0.43600000000000005,0.023
29Si,1601.3,0.42000000000000004,0.06999999999999999
29Si,10607.22,0.371,0.02
29Si,1263.17,0.304,0.017
29Si,1534.12,0.30200000000000005,0.016
29Si,3498.29,0.298,0.016
29Si,7109.82,0.27599999999999997,0.018000000000000002
29Si,3769.22,0.257,0.014
29Si,1711.11,0.23,0.05
29Si,3967.75,0.21800000000000003,0.012
29Si,1505.46,0.208,0.011
29Si,6838.92,0.202,0.012
29Si,1552.36,0.199,0.011
29Si,2359.57,0.193,0.015000000000000001
29Si,8162.0,0.161,0.012
29Si,4405.54,0.16,0.009000000000000001
29Si,2595.41,0.154,0.01
29Si,2676.9,0.121,0.008
29Si,3738.15,0.094,0.008
29Si,5128.13,0.09000000000000001,0.007
29Si,1301.12,0.083,0.006
29Si,5927.25,0.074,0.006
29Si,2020.24,0.06999999999999999,0.005
29Si,2276.22,0.068,0.005
29Si,4375.13,0.067,0.005
29Si,4664.29,0.062,0.005
29Si,1733.0,0.061,0.004
29Si,3252.06,0.060000000000000005,0.011
29Si,2956.2,0.060000000000000005,0.005
29Si,816.86,0.060000000000000005,0.005
29Si,3694.21,0.060000000000000005,0.011
29Si,6820.69,0.059,0.005
29Si,1988.98,0.058,0.01
29Si,989.45,0.058,0.005
29Si,6661.97,0.057,0.005
29Si,9618.12,0.056,0.005
29Si,4009.08,0.051,0.004
29Si,9790.65,0.051,0.005
29Si,1012.04,0.045000000000000005,0.004
29Si,5538.06,0.044,0.004
29Si,4393.37,0.039,0.004
29Si,1655.89,0.038,0.003
29Si,4508.39,0.036000000000000004,0.003
29Si,8372.66,0.036000000000000004,0.004
29Si,1844.48,0.029,0.005
29Si,6098.0,0.029,0.003
29Si,8896.66,0.028,0.006
29Si,4809.91,0.025,0.003
29Si,1153.62,0.025,0.005
29Si,1810.3,0.025,0.005
29Si,4679.08,0.0235,0.0022
29Si,1311.78,0.022099999999999998,0.0022
29Si,5399.04,0.022,0.003
29Si,3378.5,0.020999999999999998,0.004
29Si,3283.86,0.02,0.003
29Si,4087.45,0.0184,0.0022
29Si,2871.58,0.018000000000000002,0.004
29Si,6913.93,0.018000000000000002,0.007
29Si,407.13,0.0171,0.0018
29Si,1332.3,0.0157,0.002
29Si,8951.87,0.015000000000000001,0.004
29Si,1672.7,0.0148,0.0015999999999999999
29Si,4994.77,0.0148,0.0024
29Si,998.99,0.0138,0.0017000000000000001
29Si,2453.3,0.0138,0.0015999999999999999
29Si,6717.18,0.0134,0.0021
29Si,10200.24,0.013,0.003
29Si,1830.82,0.012,0.003
29Si,2256.78,0.0115,0.002
29Si,1933.68,0.0101,0.0019
29Si,2941.8,0.0101,0.0015
29Si,5868.79,0.0097,0.002
29Si,5431.4,0.0092,0.002
29Si,1893.79,0.0088,0.0019
29Si,7071.87,0.0083,0.0019
29Si,6640.41,0.0078,0.0023
29Si,3416.06,0.0074,0.0019
29Si,5919.9,0.0074,0.0019
29Si,2666.76,0.0074,0.0019
29Si,2574.89,0.0069,0.0019
29Si,3135.3,0.0069,0.0022
29Si,2996.09,0.0065,0.0014
29Si,2153.93,0.0065,0.0015
29Si,333.4,0.006,0.0014
29Si,4765.93,0.0055,0.0014
29Si,6487.4,0.0055,0.0014
29Si,4786.45,0.0046,0.0014
29Si,6004.0,0.0037,0.0014
29Si,421.24,0.0031999999999999997,0.0009
29Si,1390.17,0.0031999999999999997,0.001
29Si,7965.65,0.0031999999999999997,0.001
29Si,400.72,0.0028,0.0009
29Si,3294.21,0.0028,0.0009
29Si,1040.83,0.0018,0.0009
30Si,752.215,3.16,0.1
30Si,3054.321,2.4499999999999997,0.13999999999999999
30Si,2780.552,2.4099999999999997,0.12999999999999998
30Si,1306.01,0.61,0.12000000000000001
30Si,4528.78,0.53,0.1
30Si,2204.945,0.46,0.11
30Si,3629.91,0.27099999999999996,0.013
30Si,3586.22,0.23,0.060000000000000005
30Si,1694.87,0.133,0.008
30Si,1837.94,0.073,0.005
30Si,4382.03,0.062,0.005
30Si,3532.69,0.060000000000000005,0.004
30Si,2687.32,0.055,0.004
30Si,6586.64,0.053,0.005
30Si,1748.39,0.046,0.003
30Si,2787.89,0.039,0.003
30Si,1594.29,0.034499999999999996,0.0023
30Si,714.24,0.0312,0.0022
30Si,5872.55,0.029,0.003
30Si,2316.84,0.0241,0.0022
30Si,2964.28,0.0241,0.0025
30Si,849.44,0.0147,0.0017000000000000001
30Si,5834.58,0.0084,0.0014
30Si,5280.87,0.008,0.0014
30Si,629.48,0.007,0.001
30Si,1564.66,0.0054,0.0014
30Si,3799.12,0.0047,0.0013
30Si,622.01,0.0044,0.001
30Si,2065.36,0.004,0.001
30Si,5957.29,0.004,0.001
30Si,898.98,0.0023,0.0007
30Si,4892.06,0.0017000000000000001,0.0017000000000000001
30Si,942.67,0.0013,0.0003
30Si,2493.22,0.0013,0.0013
30Si,3640.75,0.0013,0.0007
30Si,4270.15,0.0012,0.0012
30Si,744.87,0.001,0.0003
30Si,1215.96,0.0007999999999999999,0.0007999999999999999
31P,512.646,79.0,4.0
31P,78.083,59.0,3.0
31P,636.663,31.099999999999998,1.4
31P,3899.89,29.4,1.0
31P,6785.504,26.700000000000003,1.5
31P,1071.217,24.9,1.2
31P,3522.59,21.9,0.8
31P,4671.37,19.400000000000002,0.7
31P,2156.9,12.8,0.6
31P,2114.47,11.5,0.5
31P,3058.17,11.0,0.4
31P,2151.52,10.0,0.5
31P,2586.0,8.9,0.4
31P,3273.98,8.3,0.3
31P,7422.022,8.200000000000001,0.3
31P,4364.3,7.3,0.3
31P,2885.99,6.4,0.3
31P,5265.51,5.8,0.4
31P,4661.07,5.68,0.21000000000000002
31P,4199.87,5.5,0.3
31P,1322.72,5.29,0.25
31P,5705.37,4.28,0.16
31P,1941.05,4.13,0.2
31P,1676.84,4.05,0.2
31P,1149.298,3.8,0.19
31P,3926.48,3.68,0.13999999999999999
31P,2863.01,3.59,0.18000000000000002
31P,1244.64,3.57,0.17
31P,3185.61,3.26,0.12000000000000001
31P,4491.0,3.23,0.12000000000000001
31P,1873.52,3.2,0.16
31P,1508.85,3.18,0.16
31P,3922.87,3.02,0.12000000000000001
31P,2426.29,2.65,0.12999999999999998
31P,2657.35,2.52,0.13999999999999999
31P,2227.5,2.48,0.15
31P,5194.91,2.3600000000000003,0.23
31P,1034.16,2.06,0.11
31P,1739.14,2.0100000000000002,0.1
31P,4359.57,1.95,0.06999999999999999
31P,5277.66,1.88,0.09000000000000001
31P,2514.65,1.56,0.09000000000000001
31P,5778.06,1.52,0.060000000000000005
31P,7856.48,1.5,0.08
31P,3548.73,1.35,0.060000000000000005
31P,1353.56,1.26,0.06999999999999999
31P,2234.07,1.23,0.08
31P,4008.59,1.22,0.05
31P,3444.06,1.21,0.05
31P,4912.3,1.14,0.05
31P,3365.98,1.1199999999999999,0.05
31P,4876.87,1.11,0.09000000000000001
31P,3930.52,1.08,0.05
31P,3957.1,1.02,0.05
31P,5699.99,1.02,0.04
31P,744.99,1.01,0.05
31P,558.46,1.0,0.3
31P,2740.11,0.85,0.05
31P,3554.31,0.8400000000000001,0.04
31P,2579.27,0.82,0.060000000000000005
31P,4628.94,0.82,0.1
31P,2229.59,0.8,0.09000000000000001
31P,1805.72,0.74,0.05
31P,2217.73,0.69,0.060000000000000005
31P,6061.41,0.69,0.030000000000000002
31P,3263.68,0.65,0.030000000000000002
31P,1214.55,0.65,0.04
31P,7934.54,0.65,0.060000000000000005
31P,5683.22,0.64,0.04
31P,5717.24,0.64,0.030000000000000002
31P,3119.65,0.62,0.030000000000000002
31P,1377.95,0.5900000000000001,0.15
31P,6195.77,0.58,0.030000000000000002
31P,1808.3,0.55,0.15
31P,3224.96,0.5469999999999999,0.025
31P,1340.6,0.53,0.04
31P,2099.01,0.51,0.04
31P,1587.44,0.51,0.13999999999999999
31P,2431.66,0.51,0.04
31P,6503.21,0.495,0.025
31P,1473.72,0.49,0.030000000000000002
31P,895.04,0.47,0.030000000000000002
31P,1613.36,0.46,0.04
31P,1151.98,0.45,0.04
31P,2712.58,0.44,0.04
31P,2136.96,0.44,0.04
31P,771.58,0.43,0.04
31P,3511.91,0.43,0.05
31P,2347.91,0.42000000000000004,0.11
31P,4125.84,0.38,0.02
31P,5349.01,0.377,0.018000000000000002
31P,3338.5,0.367,0.02
31P,6331.96,0.36200000000000004,0.018000000000000002
31P,2275.46,0.36000000000000004,0.060000000000000005
31P,4738.9,0.345,0.017
31P,4143.35,0.32899999999999996,0.016
31P,6581.28,0.322,0.016
31P,1256.27,0.32,0.09000000000000001
31P,1318.95,0.31,0.08
31P,4455.54,0.31,0.016
31P,4798.8,0.308,0.022
31P,902.49,0.29,0.12000000000000001
31P,3713.64,0.29,0.023
31P,2842.63,0.27999999999999997,0.030000000000000002
31P,754.43,0.27999999999999997,0.030000000000000002
31P,1425.01,0.27999999999999997,0.06999999999999999
31P,1314.01,0.27,0.030000000000000002
31P,5430.63,0.25999999999999995,0.016
31P,1800.04,0.25999999999999995,0.06999999999999999
31P,3483.43,0.257,0.016
31P,1208.35,0.25,0.060000000000000005
31P,3560.92,0.23299999999999998,0.014
31P,6117.7,0.23299999999999998,0.011
31P,5548.86,0.231,0.012
31P,2609.14,0.23,0.04
31P,4632.01,0.223,0.014
31P,1921.14,0.22,0.05
31P,1432.98,0.22,0.060000000000000005
31P,2685.99,0.206,0.024
31P,1429.69,0.2,0.05
31P,5432.19,0.2,0.030000000000000002
31P,3387.51,0.194,0.012
31P,906.91,0.184,0.02
31P,2139.65,0.18000000000000002,0.04
31P,2931.46,0.18000000000000002,0.030000000000000002
31P,1217.15,0.16,0.04
31P,5622.83,0.153,0.011
31P,5757.87,0.13699999999999998,0.009000000000000001
31P,6612.11,0.132,0.007
31P,1068.38,0.12999999999999998,0.030000000000000002
31P,3195.61,0.12999999999999998,0.01
31P,4861.25,0.122,0.008
31P,4003.1,0.111,0.008
31P,3946.21,0.108,0.006
31P,5356.07,0.108,0.007
31P,4551.77,0.107,0.005
31P,4813.08,0.103,0.008
31P,5983.34,0.103,0.007
31P,4043.08,0.103,0.007
31P,5360.75,0.098,0.007
31P,5508.7,0.093,0.006
31P,6179.99,0.088,0.006
31P,5072.01,0.085,0.005
31P,432.21,0.08,0.015000000000000001
31P,4026.47,0.079,0.003
31P,4794.55,0.077,0.006
31P,5633.74,0.075,0.003
31P,4035.18,0.074,0.006
31P,5229.04,0.07100000000000001,0.005
31P,5307.11,0.07100000000000001,0.005
31P,5182.86,0.067,0.005
31P,6557.14,0.067,0.003
31P,5325.64,0.064,0.005
31P,6253.9,0.058,0.004
31P,4244.13,0.058,0.004
31P,2177.1,0.05,0.01
31P,6509.84,0.032100000000000004,0.0025
31P,6479.07,0.028900000000000002,0.0021
32S,840.993,347.0,6.0
32S,5420.574,308.0,7.0
32S,2379.661,208.0,5.0
32S,3220.588,117.0,5.0
32S,2930.67,83.2,1.3
32S,4869.61,65.0,1.3
32S,2753.16,27.7,0.5
32S,3369.7,27.099999999999998,0.5
32S,4430.6,26.200000000000003,0.6
32S,5047.1,16.299999999999997,0.4
32S,7799.815,14.4,0.5
32S,3723.54,13.299999999999999,0.3
32S,1697.24,12.5,0.25
32S,2490.14,12.5,0.3
32S,2216.722,12.1,0.23
32S,8640.594,9.799999999999999,0.7
32S,1472.401,8.7,0.19
32S,5583.5,8.6,0.3
32S,1964.86,6.590000000000001,0.22
32S,3397.37,5.44,0.15
32S,2867.58,4.25,0.15
32S,5887.96,3.73,0.17
32S,2313.354,3.66,0.12999999999999998
32S,1967.11,3.57,0.18000000000000002
32S,2667.65,3.4499999999999997,0.09000000000000001
32S,1225.738,3.42,0.1
32S,1453.893,2.61,0.09000000000000001
32S,7415.15,2.49,0.18000000000000002
32S,1135.312,2.4299999999999997,0.08
32S,4363.14,2.15,0.18000000000000002
32S,1897.39,2.04,0.09000000000000001
32S,2214.04,2.0100000000000002,0.09000000000000001
