Isotope,Energy (keV),Sigma (b),DSigma (b)
25Mg,4181.82,2.2e-05,4e-06
25Mg,5593.27,3.4e-05,4e-06
25Mg,6722.58,1.5e-05,3e-06
25Mg,4355.23,2.5e-05,4e-06
25Mg,5766.67,6.2e-05,6e-06
25Mg,5924.7,1.07e-05,2.2e-06
25Mg,7054.0,1.55e-05,2.4e-06
25Mg,1554.57,1.26e-05,2.2e-06
25Mg,1620.7,3.4e-05,5e-06
25Mg,1642.06,4.1e-05,6e-06
25Mg,3611.49,4.7e-05,9e-06
25Mg,4001.88,4.8e-05,9e-06
25Mg,4552.98,0.00016,1.3e-05
25Mg,4961.48,0.000155,1.1e-05
25Mg,5964.42,5.7e-05,6e-06
25Mg,8957.7,3.1e-05,4e-06
25Mg,6105.69,1.3e-05,3e-06
25Mg,9236.9,4e-05,4e-06
25Mg,4423.82,2.1e-05,3e-06
25Mg,4489.95,2.1e-05,3e-06
25Mg,4974.92,2.5e-05,4e-06
25Mg,4992.46,3.8e-05,6e-06
25Mg,5383.4,1.3e-05,3e-06
25Mg,6386.32,7.9e-05,8e-06
25Mg,5077.14,1.3e-05,4e-06
25Mg,6488.54,5.5e-05,6e-06
25Mg,7617.81,1.8e-05,3e-06
25Mg,2291.18,2.2e-05,4e-06
25Mg,2697.46,3.9e-05,5e-06
25Mg,3448.32,3.3e-05,5e-06
25Mg,5223.38,0.00016,1.2e-05
25Mg,5631.86,2.3e-05,3e-06
25Mg,7807.0,9.7e-06,2.1e-06
25Mg,5020.85,1.9e-05,3e-06
25Mg,5523.35,3.1e-05,5e-06
25Mg,5914.28,1e-05,3e-05
25Mg,9854.5,1.4e-05,3e-06
25Mg,7163.03,7.7e-06,2e-06
25Mg,10100.32,2.2e-05,3e-06
25Mg,7187.28,1.16e-05,2.1e-06
25Mg,8316.51,2.2e-05,3e-06
25Mg,8409.89,1.07e-05,2.1e-06
25Mg,8540.11,9.7e-06,2.1e-06
25Mg,3262.57,3.7e-05,5e-06
25Mg,4885.84,2.8e-05,4e-06
25Mg,6011.61,2.9e-05,4e-06
25Mg,8552.18,5.9e-05,7e-06
25Mg,3500.07,5.8e-06,2e-06
25Mg,6249.07,8.7e-06,2e-06
25Mg,6266.62,2.7e-05,4e-06
25Mg,6657.54,2.3e-05,4e-06
25Mg,7660.4,1.07e-05,2.1e-06
25Mg,8995.4,3.9e-06,1e-06
25Mg,287.3,6.8e-06,2e-06
25Mg,347.18,1.2e-05,2e-06
25Mg,374.42,2.3e-05,3e-06
25Mg,411.29,6.8e-06,1.3e-06
25Mg,493.2,8.7e-05,1.1e-05
25Mg,730.72,0.000154,6e-06
25Mg,742.79,2.3e-05,4e-06
25Mg,873.05,7.7e-06,2.3e-06
25Mg,966.46,4e-05,4e-06
25Mg,990.71,3e-05,3e-06
25Mg,1236.62,0.000114,6e-06
25Mg,1519.09,0.000255,1e-05
25Mg,1665.36,0.00012,6e-06
25Mg,1767.59,0.000307,1.4e-05
25Mg,1854.4,2.3e-05,5e-06
25Mg,2048.27,2e-05,3e-06
25Mg,2133.7,3.1e-05,5e-06
25Mg,2189.57,0.000592,2.2e-05
25Mg,2387.34,0.000109,7e-06
25Mg,2560.77,0.000154,9e-06
25Mg,2589.29,9.7e-05,6e-06
25Mg,2634.15,7.9e-05,6e-06
25Mg,2842.28,0.000223,1.2e-05
25Mg,2865.47,0.000162,1.2e-05
25Mg,2908.0,0.000266,1.5e-05
25Mg,3040.1,0.000123,8e-06
25Mg,3367.39,8.5e-05,6e-06
25Mg,3395.6,2.3e-05,3e-06
25Mg,3551.19,0.00109,4e-05
25Mg,3722.0,7.5e-05,6e-06
25Mg,3744.0,0.00136,5e-05
25Mg,3810.13,0.00097,4e-05
25Mg,3831.48,0.00418,0.00014
25Mg,3993.19,0.000169,1e-05
25Mg,4030.88,0.000176,1e-05
25Mg,4216.38,0.00145,5e-05
25Mg,4347.04,9.9e-05,5e-06
25Mg,4458.44,9.3e-05,6e-06
25Mg,4967.19,0.00162,7e-05
25Mg,5376.85,1.3e-05,3e-06
25Mg,5401.45,4.4e-05,4e-06
25Mg,5616.41,5.2e-05,5e-06
25Mg,5800.74,0.000303,1.3e-05
25Mg,6120.11,4.8e-05,4e-06
25Mg,6191.09,5.2e-05,4e-06
25Mg,6257.21,6.6e-05,7e-06
25Mg,6742.14,0.000411,1.9e-05
25Mg,6759.69,0.000228,1.4e-05
25Mg,6773.33,6.9e-05,5e-06
25Mg,7150.6,0.000221,1.5e-05
25Mg,8153.448,0.00285,0.00011
25Mg,9282.642,0.000438,1.8e-05
25Mg,11090.62,2.7e-05,4e-06
26Mg,984.88,0.00064,4e-05
26Mg,713.71,1.6e-06,1.6e-06
26Mg,1698.56,0.000117,1.9e-05
26Mg,241.74,3.2e-06,1.1e-06
26Mg,955.45,2.7e-05,4e-06
26Mg,1940.28,9.5e-06,2.2e-06
26Mg,2490.7,2.5e-06,1.3e-06
26Mg,3476.1,0.000125,2.4e-05
26Mg,1792.76,3.2e-06,1.1e-06
26Mg,2506.42,1.58e-05,2.3e-06
26Mg,3491.2,1.05e-05,2.2e-06
26Mg,1621.13,1.6e-06,1.6e-06
26Mg,1862.86,5.7e-05,6e-06
26Mg,2576.51,0.000147,2e-05
26Mg,3561.29,0.00249,0.00012
26Mg,1846.93,2.7e-05,4e-06
26Mg,2088.66,4.3e-05,4e-06
26Mg,3787.07,7.3e-05,8e-06
26Mg,1040.81,1.6e-06,1.6e-06
26Mg,1266.61,3.7e-05,4e-06
26Mg,1336.71,1.9e-05,7e-06
26Mg,1351.81,3.6e-05,1e-05
26Mg,2887.66,1.6e-06,1.6e-06
26Mg,3129.38,1.6e-06,1.6e-06
26Mg,3843.0,0.00033,3e-05
26Mg,4827.72,0.00023,3e-05
26Mg,1466.97,3.2e-06,1.1e-06
26Mg,1552.17,2.1e-06,1.1e-06
26Mg,4043.34,9.5e-06,2.2e-06
26Mg,3985.3,4.2e-06,1.1e-06
26Mg,4940.6,0.00024,5e-05
26Mg,5925.28,1.48e-05,2.3e-06
26Mg,517.36,2.7e-05,1.1e-05
26Mg,1414.75,1.79e-05,2.4e-06
26Mg,1615.11,0.0007,4e-05
26Mg,2655.85,0.00015,2.1e-05
26Mg,2881.64,0.00272,0.00014
26Mg,2951.73,1.05e-05,2.2e-06
26Mg,2966.83,9e-05,9e-06
26Mg,5457.86,0.000106,2.5e-05
26Mg,6442.52,0.00039,4e-05
27Al,30.638,0.0798,0.002
27Al,941.75,0.00246,5e-05
27Al,982.951,0.00902,0.00014
27Al,1013.588,0.00555,0.0001
27Al,400.589,0.00141,4e-05
27Al,1342.32,0.00209,6e-05
27Al,1372.957,0.00029,0.00016
27Al,647.9,5.5e-05,1.9e-05
27Al,1589.62,0.00247,7e-05
27Al,1620.26,0.00016,2e-05
27Al,1592.24,0.00071,5e-05
27Al,1622.877,0.00989,0.00015
27Al,1125.289,0.00083,4e-05
27Al,2108.197,0.00549,0.00011
27Al,2138.833,0.00424,9e-05
27Al,578.56,7e-05,1.8e-05
27Al,1229.01,0.00016,3e-05
27Al,2170.7,0.00082,5e-05
27Al,2271.686,0.00396,0.0001
27Al,863.22,0.000112,2e-05
27Al,865.84,0.00087,3e-05
27Al,2455.408,7e-05,4e-05
27Al,2486.044,0.00026,8e-05
27Al,945.37,0.00047,0.00014
27Al,2534.93,0.00024,9e-05
27Al,310.2,5.2e-06,2.1e-06
27Al,2581.85,9.8e-05,2e-05
27Al,1642.42,0.00068,4e-05
27Al,1364.86,0.00066,5e-05
27Al,1974.14,4.9e-05,1.6e-05
27Al,2987.65,0.00079,4e-05
27Al,1673.4,0.00044,4e-05
27Al,3265.538,0.00082,6e-05
27Al,3316.336,4.9e-05,6e-06
27Al,3346.97,0.00111,5e-05
27Al,1193.476,0.00097,4e-05
27Al,2451.565,0.00106,7e-05
27Al,3465.058,0.0146,0.0003
27Al,1968.435,0.00017,4e-05
27Al,2577.701,0.00412,0.0001
27Al,3560.555,0.00206,8e-05
27Al,3591.189,0.01,0.00021
27Al,2047.77,0.000137,2e-05
27Al,3639.89,0.0002,5e-05
27Al,1437.4,0.00052,0.00011
27Al,1570.24,0.00038,0.00013
27Al,3678.305,0.00061,4e-05
27Al,3708.939,0.00088,8e-05
27Al,2255.37,0.00109,5e-05
27Al,2502.662,0.00029,8e-05
27Al,2862.01,7.4e-05,1.2e-05
27Al,2903.21,2.2e-05,1e-05
27Al,3875.487,0.00618,0.00014
27Al,2277.95,8e-05,6e-05
27Al,2887.214,0.00038,4e-05
27Al,3900.69,0.00049,5e-05
27Al,2312.539,6.9e-05,1.2e-05
27Al,2921.797,0.00053,4e-05
27Al,3904.638,0.0004,4e-05
27Al,3935.272,0.00063,5e-05
27Al,3230.6,5.3e-05,6e-06
27Al,4213.43,0.00011,6e-06
27Al,3448.07,6.3e-05,1e-05
27Al,4461.53,8.2e-05,6e-06
27Al,2973.42,4.7e-05,6e-06
27Al,3623.87,0.000168,1.2e-05
27Al,4565.48,5.3e-05,4e-06
27Al,4596.12,0.00028,6e-05
27Al,2419.2,0.000274,2e-05
27Al,2552.052,0.00014,4e-05
27Al,3067.99,0.00019,5e-05
27Al,4660.043,0.00605,0.00016
27Al,4690.676,0.0109,0.00024
27Al,1173.45,0.00066,4e-05
27Al,2563.35,0.00021,5e-05
27Al,2625.859,0.00264,6e-05
27Al,3391.699,0.00117,5e-05
27Al,3751.035,6.9e-05,6e-06
27Al,4733.844,0.0126,0.0003
27Al,4764.477,0.0021,0.0001
27Al,2247.4,7.8e-05,1.2e-05
27Al,3889.676,0.00047,5e-05
27Al,4903.113,0.00716,0.00018
27Al,1718.97,0.00016,0.0001
27Al,2743.48,8.8e-05,1.2e-05
27Al,4001.49,0.00036,4e-05
27Al,4984.29,0.00024,4e-05
27Al,5014.92,5.9e-06,2e-06
27Al,4120.915,7.8e-05,1.6e-05
27Al,4162.12,3.7e-05,1e-05
27Al,5103.711,0.00097,6e-05
27Al,5134.343,0.00722,0.00023
27Al,2690.67,5.7e-05,1.2e-05
27Al,3803.7,2.2e-05,6e-06
27Al,5176.45,0.00017,4e-05
27Al,3754.63,8.4e-05,6e-06
27Al,5377.27,0.00018,4e-05
27Al,2876.43,0.00014,4e-05
27Al,3303.146,0.00241,7e-05
27Al,3821.69,6.5e-05,1.6e-05
27Al,4068.966,0.00049,5e-05
27Al,5411.077,0.00481,0.00019
27Al,5441.709,2.9e-05,4e-06
27Al,3254.751,4.3e-05,6e-06
27Al,5709.853,0.00148,8e-05
27Al,4424.2,0.00067,6e-05
27Al,4783.53,2.2e-05,6e-06
27Al,5766.296,0.00091,8e-05
27Al,5796.928,0.0003,4e-05
27Al,3659.09,0.00017,5e-05
27Al,3721.59,0.00014,4e-05
27Al,4237.51,0.000117,1e-05
27Al,5829.49,2.54e-05,2e-06
27Al,5860.12,0.00038,4e-05
27Al,4396.31,0.000114,6e-06
27Al,5005.517,9.4e-05,6e-06
27Al,5988.279,4.5e-05,4e-06
27Al,6018.911,0.000366,1.9e-05
27Al,3926.799,4.5e-05,6e-06
27Al,4059.643,5.9e-05,6e-06
27Al,4575.551,0.00071,7e-05
27Al,5184.756,5.9e-05,4e-06
27Al,6198.143,0.0021,0.00014
27Al,2725.21,4.1e-05,1.2e-05
27Al,3020.233,0.00014,4e-05
27Al,4044.69,4.5e-05,4e-06
27Al,5302.642,0.00124,9e-05
27Al,5343.84,3.33e-05,2.1e-06
27Al,6316.024,0.005,0.0002
27Al,2954.47,0.00098,5e-05
27Al,4218.15,5.3e-05,6e-06
27Al,4280.65,0.00037,5e-05
27Al,5446.95,6.9e-05,4e-06
27Al,6419.13,0.00021,4e-05
27Al,3859.18,9e-05,1.2e-05
27Al,4169.327,0.00028,5e-05
27Al,5427.273,0.00017,1e-05
27Al,6440.65,0.00147,8e-05
27Al,3635.01,2e-05,6e-06
27Al,6591.62,0.00043,5e-05
27Al,6622.25,0.00037,4e-05
27Al,4085.19,1.6e-05,4e-06
27Al,4511.89,0.000164,1e-05
27Al,5277.68,4.11e-05,2.1e-06
27Al,6619.73,0.00093,7e-05
27Al,2880.74,5.3e-05,1e-05
27Al,3409.27,4.5e-05,6e-06
27Al,3768.58,2.5e-05,4e-06
27Al,4100.28,3.1e-05,1e-05
27Al,4270.16,0.000106,1.4e-05
27Al,4484.51,0.000139,1e-05
27Al,6725.17,0.00027,6e-05
27Al,2128.732,0.00063,4e-05
27Al,3017.781,0.00012,4e-05
27Al,3222.75,9.6e-05,6e-06
27Al,4621.54,0.000372,2.1e-05
27Al,4754.377,0.0008,7e-05
27Al,5879.46,5.1e-05,4e-06
27Al,6862.19,0.00036,6e-05
27Al,5802.83,6.9e-05,4e-06
27Al,6162.14,2.5e-05,4e-06
27Al,7175.49,0.00026,1.5e-05
27Al,3024.81,0.0001,4e-05
27Al,3598.36,0.00024,5e-05
27Al,4612.91,3.1e-05,4e-06
27Al,5129.97,0.000209,1.8e-05
27Al,6255.03,2.74e-05,2e-06
27Al,7237.75,0.00017,1e-05
27Al,7268.38,7.4e-05,4e-06
27Al,455.77,0.000774,2.2e-05
27Al,548.69,0.000533,1.6e-05
27Al,831.426,0.00269,7e-05
27Al,968.48,0.00079,3e-05
27Al,1073.94,0.001,4e-05
27Al,1102.06,0.00103,4e-05
27Al,1283.693,0.00222,6e-05
27Al,1305.21,0.00043,4e-05
27Al,1408.344,0.0064,0.00013
27Al,1526.246,0.00339,9e-05
27Al,1705.509,0.0008,5e-05
27Al,1864.33,0.00091,4e-05
27Al,1927.527,0.00262,7e-05
27Al,1983.978,0.00207,8e-05
27Al,2282.794,0.0089,0.00017
27Al,2347.24,0.00034,3e-05
27Al,2548.08,0.00026,4e-05
27Al,2590.193,0.00807,0.00016
27Al,2709.62,0.0014,7e-05
27Al,2821.444,0.00752,0.00015
27Al,3033.896,0.0179,0.0003
27Al,3128.46,0.00054,4e-05
27Al,3263.06,0.000196,2e-05
27Al,3480.53,0.00018,4e-05
27Al,3789.326,0.00191,8e-05
27Al,3823.909,0.00114,7e-05
27Al,3849.111,0.00699,0.00017
27Al,4015.658,0.00166,7e-05
27Al,4054.07,0.00037,5e-05
27Al,4133.407,0.0149,0.0003
27Al,4259.534,0.0153,0.0003
27Al,4377.618,0.00103,8e-05
27Al,4428.414,0.00185,8e-05
27Al,4736.92,0.001,0.00022
27Al,5068.6,0.00037,5e-05
27Al,5142.69,2.9e-05,4e-06
27Al,5238.482,0.00054,5e-05
27Al,5452.815,0.00046,6e-05
27Al,5523.15,0.00017,4e-05
27Al,5585.651,0.00279,0.00012
27Al,6101.529,0.0057,0.00021
27Al,6351.404,0.00032,4e-05
27Al,6710.699,0.0022,0.00012
27Al,6751.9,0.000114,6e-06
27Al,7693.397,0.0081,0.0003
27Al,7724.027,0.0493,0.0015
28Si,1273.349,0.0289,0.0006
28Si,754.67,5.1e-05,2e-05
28Si,2027.98,0.00075,0.00012
28Si,397.82,3e-05,1e-05
28Si,1152.472,0.00093,9e-05
28Si,2425.767,0.00494,0.00015
28Si,1038.88,0.00024,6e-05
28Si,1793.52,0.00111,0.00012
28Si,3566.61,6.1e-05,2e-05
28Si,4839.8,0.00041,0.00011
28Si,1867.32,0.00129,0.00014
28Si,2508.35,0.00042,6e-05
28Si,2906.13,7.1e-05,2e-05
28Si,3660.713,0.00703,0.00021
28Si,4933.889,0.112,0.0023
28Si,1446.176,0.00134,0.00013
28Si,1540.28,0.00058,0.00011
28Si,3954.39,0.00449,0.00019
28Si,5106.693,0.0064,0.0003
28Si,6379.801,0.0207,0.0006
28Si,6712.1,5e-05,4e-05
28Si,3841.26,7.1e-05,2e-05
28Si,4482.24,0.00018,5e-05
28Si,4879.99,0.0003,5e-05
28Si,5634.52,0.00022,6e-05
28Si,6907.6,0.0001,3e-05
28Si,2123.51,4.1e-05,1e-05
28Si,4631.66,4.1e-05,2e-05
28Si,5783.94,3e-05,1e-05
28Si,7057.01,0.00031,6e-05
28Si,5096.77,7.1e-05,2e-05
28Si,7522.08,2e-05,1.7e-05
28Si,7995.22,3e-05,2.2e-05
28Si,477.13,0.00034,0.00015
28Si,950.39,0.00012,4e-05
28Si,1415.56,0.00037,5e-05
28Si,1565.01,0.00086,7e-05
28Si,1760.6,7.1e-05,2e-05
28Si,2092.902,0.0331,0.0006
28Si,3538.966,0.119,0.002
28Si,3633.06,6e-05,6e-05
28Si,5406.04,6.1e-05,2e-05
28Si,6046.98,0.00084,0.00019
28Si,6444.71,0.0002,4e-05
28Si,7199.199,0.0125,0.0004
28Si,8472.209,0.00381,0.00018
29Si,2235.227,0.0025,0.00011
29Si,1263.17,0.000304,1.7e-05
29Si,3498.29,0.000298,1.6e-05
29Si,1534.12,0.000302,1.6e-05
29Si,3769.22,0.000257,1.4e-05
29Si,1552.36,0.000199,1.1e-05
29Si,1040.83,1.8e-06,9e-07
29Si,1311.78,2.21e-05,2.2e-06
29Si,2574.89,6.9e-06,1.9e-06
29Si,4809.91,2.5e-05,3e-06
29Si,1332.3,1.57e-05,2e-06
29Si,2595.41,0.000154,1e-05
29Si,400.72,2.8e-06,9e-07
29Si,421.24,3.2e-06,9e-07
29Si,1733.0,6.1e-05,4e-06
29Si,2996.09,6.5e-06,1.4e-06
29Si,1601.3,0.00042,7e-05
29Si,3135.3,6.9e-06,2.2e-06
29Si,1988.98,5.8e-05,1e-05
29Si,3252.06,6e-05,1.1e-05
29Si,1844.48,2.9e-05,5e-06
29Si,3378.5,2.1e-05,4e-06
29Si,1153.62,2.5e-05,5e-06
29Si,1810.3,2.5e-05,5e-06
29Si,1830.82,1.2e-05,3e-06
29Si,2871.58,1.8e-05,4e-06
29Si,4405.54,0.00016,9e-06
29Si,6640.41,7.8e-06,2.3e-06
29Si,1933.68,1.01e-05,1.9e-06
29Si,2956.2,6e-05,5e-06
29Si,4508.39,3.6e-05,3e-06
29Si,6743.25,0.0017,9e-05
29Si,3416.06,7.4e-06,1.9e-06
29Si,4679.08,2.35e-05,2.2e-06
29Si,6913.93,1.8e-05,7e-06
29Si,1893.79,8.8e-06,1.9e-06
29Si,2020.24,7e-05,5e-06
29Si,2276.22,6.8e-05,5e-06
29Si,2676.9,0.000121,8e-06
29Si,3738.15,9.4e-05,8e-06
29Si,4009.08,5.1e-05,4e-06
29Si,5272.06,0.00087,7e-05
29Si,5431.4,9.2e-06,2e-06
29Si,3294.21,2.8e-06,9e-07
29Si,5868.79,9.7e-06,2e-06
29Si,5919.9,7.4e-06,1.9e-06
29Si,4375.13,6.7e-05,5e-06
29Si,4393.37,3.9e-05,4e-06
29Si,4664.29,6.2e-05,5e-06
29Si,5927.25,7.4e-05,6e-06
29Si,8162.0,0.000161,1.2e-05
29Si,1390.17,3.2e-06,1e-06
29Si,2153.93,6.5e-06,1.5e-06
29Si,2256.78,1.15e-05,2e-06
29Si,3283.86,2e-05,3e-06
29Si,4087.45,1.84e-05,2.2e-06
29Si,5128.13,9e-05,7e-06
29Si,5399.04,2.2e-05,3e-06
29Si,6661.97,5.7e-05,5e-06
29Si,8896.66,2.8e-05,6e-06
29Si,6717.18,1.34e-05,2.1e-06
29Si,8951.87,1.5e-05,4e-06
29Si,998.99,1.38e-05,1.7e-06
29Si,2359.57,0.000193,1.5e-05
29Si,2666.76,7.4e-06,1.9e-06
29Si,5538.06,4.4e-05,4e-06
29Si,7071.87,8.3e-06,1.9e-06
29Si,4765.93,5.5e-06,1.4e-06
29Si,4786.45,4.6e-06,1.4e-06
29Si,6098.0,2.9e-05,3e-06
29Si,9618.12,5.6e-05,5e-06
29Si,6004.0,3.7e-06,1.4e-06
29Si,9790.65,5.1e-05,5e-06
29Si,7965.65,3.2e-06,1e-06
29Si,10200.24,1.3e-05,3e-06
29Si,6487.4,5.5e-06,1.4e-06
29Si,333.4,6e-06,1.4e-06
29Si,407.13,1.71e-05,1.8e-06
29Si,816.86,6e-05,5e-06
29Si,989.45,5.8e-05,5e-06
29Si,1012.04,4.5e-05,4e-06
29Si,1301.12,8.3e-05,6e-06
29Si,1505.46,0.000208,1.1e-05
29Si,1655.89,3.8e-05,3e-06
29Si,1672.7,1.48e-05,1.6e-06
29Si,1711.11,0.00023,5e-05
29Si,2445.93,0.000436,2.3e-05
29Si,2453.3,1.38e-05,1.6e-06
29Si,2941.8,1.01e-05,1.5e-06
29Si,3101.19,0.00149,8e-05
29Si,3694.21,6e-05,1.1e-05
29Si,3864.9,0.00166,9e-05
29Si,3967.75,0.000218,1.2e-05
29Si,4994.77,1.48e-05,2.4e-06
29Si,6820.69,5.9e-05,5e-06
29Si,6838.92,0.000202,1.2e-05
29Si,7109.82,0.000276,1.8e-05
29Si,8372.66,3.6e-05,4e-06
29Si,10607.22,0.000371,2e-05
30Si,752.215,0.00316,0.0001
30Si,942.67,1.3e-06,3e-07
30Si,1694.87,0.000133,8e-06
30Si,622.01,4.4e-06,1e-06
30Si,1564.66,5.4e-06,1.4e-06
30Si,2316.84,2.41e-05,2.2e-06
30Si,2787.89,3.9e-05,3e-06
30Si,744.87,1e-06,3e-07
30Si,1215.96,8e-07,8e-07
30Si,1837.94,7.3e-05,5e-06
30Si,2780.552,0.00241,0.00013
30Si,3532.69,6e-05,4e-06
30Si,849.44,1.47e-05,1.7e-06
30Si,1594.29,3.45e-05,2.3e-06
30Si,2065.36,4e-06,1e-06
30Si,2687.32,5.5e-05,4e-06
30Si,3629.91,0.000271,1.3e-05
30Si,4382.03,6.2e-05,5e-06
30Si,898.98,2.3e-06,7e-07
30Si,1748.39,4.6e-05,3e-06
30Si,2493.22,1.3e-06,1.3e-06
30Si,2964.28,2.41e-05,2.5e-06
30Si,3586.22,0.00023,6e-05
30Si,4528.78,0.00053,0.0001
30Si,5280.87,8e-06,1.4e-06
30Si,5872.55,2.9e-05,3e-06
30Si,3640.75,1.3e-06,7e-07
30Si,5957.29,4e-06,1e-06
30Si,629.48,7e-06,1e-06
30Si,714.24,3.12e-05,2.2e-06
30Si,1306.01,0.00061,0.00012
30Si,2204.945,0.00046,0.00011
30Si,3054.321,0.00245,0.00014
30Si,3799.12,4.7e-06,1.3e-06
30Si,4270.15,1.2e-06,1.2e-06
30Si,4892.06,1.7e-06,1.7e-06
30Si,5834.58,8.4e-06,1.4e-06
30Si,6586.64,5.3e-05,5e-06
31P,78.083,0.059,0.003
31P,512.646,0.079,0.004
31P,636.663,0.0311,0.0014
31P,1071.217,0.0249,0.0012
31P,1149.298,0.0038,0.00019
31P,1244.64,0.00357,0.00017
31P,1322.72,0.00529,0.00025
31P,432.21,8e-05,1.5e-05
31P,1676.84,0.00405,0.0002
31P,2099.01,0.00051,4e-05
31P,2177.1,5e-05,1e-05
31P,895.04,0.00047,3e-05
31P,1068.38,0.00013,3e-05
31P,2139.65,0.00018,4e-05
31P,2217.73,0.00069,6e-05
31P,906.91,0.000184,2e-05
31P,2151.52,0.01,0.0005
31P,2229.59,0.0008,9e-05
31P,558.46,0.001,0.0003
31P,1256.27,0.00032,9e-05
31P,1429.69,0.0002,5e-05
31P,902.49,0.00029,0.00012
31P,2579.27,0.00082,6e-05
31P,2657.35,0.00252,0.00014
31P,2227.5,0.00248,0.00015
31P,2740.11,0.00085,5e-05
31P,1318.95,0.00031,8e-05
31P,1034.16,0.00206,0.00011
31P,1508.85,0.00318,0.00016
31P,1941.05,0.00413,0.0002
31P,2114.47,0.0115,0.0005
31P,3185.61,0.00326,0.00012
31P,3263.68,0.00065,3e-05
31P,1214.55,0.00065,4e-05
31P,2931.46,0.00018,3e-05
31P,3365.98,0.00112,5e-05
31P,3444.06,0.00121,5e-05
31P,3713.64,0.00029,2.3e-05
31P,744.99,0.00101,5e-05
31P,2685.99,0.000206,2.4e-05
31P,3930.52,0.00108,5e-05
31P,4008.59,0.00122,5e-05
31P,771.58,0.00043,4e-05
31P,1377.95,0.00059,0.00015
31P,1805.72,0.00074,5e-05
31P,2712.58,0.00044,4e-05
31P,2885.99,0.0064,0.0003
31P,3522.59,0.0219,0.0008
31P,3957.1,0.00102,5e-05
31P,4035.18,7.4e-05,6e-06
31P,1808.3,0.00055,0.00015
31P,1217.15,0.00016,4e-05
31P,1587.44,0.00051,0.00014
31P,1921.14,0.00022,5e-05
31P,2347.91,0.00042,0.00011
31P,2431.66,0.00051,4e-05
31P,3338.5,0.000367,2e-05
31P,3511.91,0.00043,5e-05
31P,4661.07,0.00568,0.00021
31P,3387.51,0.000194,1.2e-05
31P,3560.92,0.000233,1.4e-05
31P,4632.01,0.000223,1.4e-05
31P,1432.98,0.00022,6e-05
31P,1613.36,0.00046,4e-05
31P,2136.96,0.00044,4e-05
31P,3554.31,0.00084,4e-05
31P,4364.3,0.0073,0.0003
31P,4798.8,0.000308,2.2e-05
31P,4876.87,0.00111,9e-05
31P,2842.63,0.00028,3e-05
31P,3922.87,0.00302,0.00012
31P,5072.01,8.5e-05,5e-06
31P,4794.55,7.7e-05,6e-06
31P,5229.04,7.1e-05,5e-06
31P,5307.11,7.1e-05,5e-06
31P,4003.1,0.000111,8e-06
31P,4813.08,0.000103,8e-06
31P,5325.64,6.4e-05,5e-06
31P,1314.01,0.00027,3e-05
31P,1340.6,0.00053,4e-05
31P,2275.46,0.00036,6e-05
31P,2609.14,0.00023,4e-05
31P,3119.65,0.00062,3e-05
31P,4026.47,7.9e-05,3e-06
31P,4199.87,0.0055,0.0003
31P,5349.01,0.000377,1.8e-05
31P,1473.72,0.00049,3e-05
31P,3195.61,0.00013,1e-05
31P,4359.57,0.00195,7e-05
31P,5430.63,0.00026,1.6e-05
31P,5508.7,9.3e-05,6e-06
31P,3483.43,0.000257,1.6e-05
31P,3946.21,0.000108,6e-06
31P,4551.77,0.000107,5e-06
31P,5622.83,0.000153,1.1e-05
31P,2514.65,0.00156,9e-05
31P,3548.73,0.00135,6e-05
31P,4455.54,0.00031,1.6e-05
31P,4628.94,0.00082,0.0001
31P,5265.51,0.0058,0.0004
31P,5699.99,0.00102,4e-05
31P,5778.06,0.00152,6e-05
31P,754.43,0.00028,3e-05
31P,4738.9,0.000345,1.7e-05
31P,4912.3,0.00114,5e-05
31P,5548.86,0.000231,1.2e-05
31P,5983.34,0.000103,7e-06
31P,6061.41,0.00069,3e-05
31P,5683.22,0.00064,4e-05
31P,6117.7,0.000233,1.1e-05
31P,6195.77,0.00058,3e-05
31P,5182.86,6.7e-05,5e-06
31P,6253.9,5.8e-05,4e-06
31P,6331.96,0.000362,1.8e-05
31P,1800.04,0.00026,7e-05
31P,5360.75,9.8e-05,7e-06
31P,6509.84,3.21e-05,2.5e-06
31P,1208.35,0.00025,6e-05
31P,4244.13,5.8e-05,4e-06
31P,6479.07,2.89e-05,2.1e-06
31P,6557.14,6.7e-05,3e-06
31P,5432.19,0.0002,3e-05
31P,6503.21,0.000495,2.5e-05
31P,6581.28,0.000322,1.6e-05
31P,4043.08,0.000103,7e-06
31P,4125.84,0.00038,2e-05
31P,5633.74,7.5e-05,3e-06
31P,1151.98,0.00045,4e-05
31P,1353.56,0.00126,7e-05
31P,1425.01,0.00028,7e-05
31P,1739.14,0.00201,0.0001
31P,1873.52,0.0032,0.00016
31P,2156.9,0.0128,0.0006
31P,2234.07,0.00123,8e-05
31P,2426.29,0.00265,0.00013
31P,2586.0,0.0089,0.0004
31P,2863.01,0.00359,0.00018
31P,3058.17,0.011,0.0004
31P,3224.96,0.000547,2.5e-05
31P,3273.98,0.0083,0.0003
31P,3899.89,0.0294,0.001
31P,3926.48,0.00368,0.00014
31P,4143.35,0.000329,1.6e-05
31P,4491.0,0.00323,0.00012
31P,4671.37,0.0194,0.0007
31P,4861.25,0.000122,8e-06
31P,5194.91,0.00236,0.00023
31P,5277.66,0.00188,9e-05
31P,5356.07,0.000108,7e-06
31P,5705.37,0.00428,0.00016
31P,5717.24,0.00064,3e-05
